item,count,f
"AUTHOR NAME DISAMBIGUATION",74,37.56
"none available",48,24.37
"NAME DISAMBIGUATION",32,16.24
"CLUSTERING",13,6.60
"MACHINE LEARNING",12,6.09
"DIGITAL LIBRARY",11,5.58
"AUTHOR DISAMBIGUATION",9,4.57
"BIBLIOMETRICS",9,4.57
"DIGITAL LIBRARIES",9,4.57
"BIBLIOGRAPHIC DATA",8,4.06
"CLASSIFICATION",6,3.05
"PUBMED",6,3.05
"CITATION ANALYSIS",5,2.54
"COMMUNITY DETECTION",5,2.54
"ENTITY RESOLUTION",5,2.54
"INFORMATION RETRIEVAL",5,2.54
"REPRESENTATION LEARNING",5,2.54
"FINAL",4,2.03
"GOLD STANDARD",4,2.03
"MEDLINE",4,2.03
"NAME AMBIGUITY",4,2.03
"ORCID",4,2.03
"RANDOM FOREST",4,2.03
"RECORD LINKAGE",4,2.03
"BIBLIOGRAPHIC DATABASES",3,1.52
"CO-AUTHORSHIP NETWORK",3,1.52
"HETEROGENEOUS INFORMATION NETWORK",3,1.52
"HIERARCHICAL CLUSTERING",3,1.52
"NETWORK EMBEDDING",3,1.52
"SCIENTIFIC COLLABORATION",3,1.52
"SEMANTIC SIMILARITY",3,1.52
"SUPERVISED LEARNING",3,1.52
"SUPERVISED MACHINE LEARNING",3,1.52
"TEXT MINING",3,1.52
"VECTOR SPACE MODEL",3,1.52
"WORD EMBEDDINGS",3,1.52
"AND",2,1.02
"AUTHOR IDENTIFICATION",2,1.02
"AUTHOR IDENTIFIERS",2,1.02
"AUTHOR NAME HOMONYMS",2,1.02
"AUTHORITY CONTROL",2,1.02
"BIBLIOGRAPHIC CITATION",2,1.02
"BIBLIOGRAPHIC CITATIONS",2,1.02
"BIBLIOGRAPHIES",2,1.02
"BLOCKING",2,1.02
"CO-AUTHORS GRAPH",2,1.02
"DATA HANDLING",2,1.02
"DATA SETS",2,1.02
"DBLP",2,1.02
"DEEP LEARNING",2,1.02
"DEEP NEURAL NETWORKS",2,1.02
"DISAMBIGUATION",2,1.02
"EVALUATION",2,1.02
"FEATURE EXTRACTION",2,1.02
"GENETIC PROGRAMMING",2,1.02
"GRAPH MODEL",2,1.02
"GRAPH STRUCTURAL CLUSTERING",2,1.02
"HETEROGENEOUS INFORMATION NETWORKS",2,1.02
"HOMONYM",2,1.02
"HOMONYM RESOLVER",2,1.02
"LABELED DATA",2,1.02
"LOUVAIN METHOD",2,1.02
"METADATA",2,1.02
"MULTIPLE FEATURES",2,1.02
"NEURAL NETWORKS",2,1.02
"PAIRWISE CLASSIFICATION",2,1.02
"POST-PROCESSING",2,1.02
"RANDOM FORESTS",2,1.02
"SCIENTOMETRICS",2,1.02
"SIMILARITY",2,1.02
"SOCIAL NETWORKS",2,1.02
"SUPERVISED METHODS",2,1.02
"SYNONYMS RESOLVER",2,1.02
"UNSUPERVISED LEARNING",2,1.02
"WEB OF SCIENCE",2,1.02
" GERMANY",1,0.51
"ACADEMIC INTEGRITY",1,0.51
"ACADEMIC NETWORK",1,0.51
"ACADEMIC RANKINGS",1,0.51
"ACADEMIC SOCIAL NETWORK",1,0.51
"ACTIVE SAMPLING",1,0.51
"AFFILIATION",1,0.51
"AGGLOMERATIVE CLUSTERING",1,0.51
"ANALYTICAL REASONING",1,0.51
"AND DATASETS",1,0.51
"ANNOTATION",1,0.51
"AP CLUSTERING",1,0.51
"API",1,0.51
"ASSOCIATED ITEM GENERATING ALGORITHM",1,0.51
"ASSOCIATION RULE LEARNING",1,0.51
"ASSOCIATIVE METHODS",1,0.51
"ASSOCIATIVE PROCESSING",1,0.51
"AUTHOR",1,0.51
"AUTHOR CLUSTERING",1,0.51
"AUTHOR DISAMBIGUITY",1,0.51
"AUTHOR ID",1,0.51
"AUTHOR IDENTIFIER",1,0.51
"AUTHOR MATCHING",1,0.51
"AUTHOR NAME DISAMBIGUATION (AND)",1,0.51
"AUTHOR NAME HOMOGRAPHY",1,0.51
"AUTHOR NAME VARIABILITY",1,0.51
"AUTHOR PROFILE MODELS",1,0.51
"AUTHOR-ITY2009",1,0.51
"AUTHOR-NAME DISAMBIGUATION",1,0.51
"AUTHORSHIP",1,0.51
"AUTHORSHIP CORRELATION",1,0.51
"AUTHORSHIP DISAMBIGUATION",1,0.51
"AUTOMATIC DISAMBIGUATION",1,0.51
"BASELINE METHODS",1,0.51
"BERT LANGUAGE MODEL",1,0.51
"BIBLIOGRAPHIC DATA SOURCE",1,0.51
"BIBLIOGRAPHIC DATABASE",1,0.51
"BIBLIOGRAPHIC STYLE",1,0.51
"BIBLIOGRAPHICAL DATA",1,0.51
"BIBLIOGRAPHY AS TOPIC",1,0.51
