item,count,f
"none available",26,13.20
"Department of Computer Science",16,8.12
"Ann Arbor",10,5.08
"University of Michigan",10,5.08
"Department of Computer Science and Engineering",9,4.57
"Survey Research Center",9,4.57
"Universidade Federal de Minas Gerais",9,4.57
"Beijing",8,4.06
"Departamento de Ciencia da Computacao",8,4.06
"Institute for Social Research",8,4.06
"Universidade Federal de Ouro Preto",8,4.06
"330 Packard Street",7,3.55
"Departamento de Computacao",7,3.55
"Department of Sociology",7,3.55
"Institute for Research on Innovation and Science",7,3.55
"School of Information Management",6,3.05
"University Park",6,3.05
"Chinese Academy of Sciences",5,2.54
"Information Sciences and Technology",5,2.54
"Pennsylvania State University",5,2.54
"School of Computer Science",5,2.54
"School of Information Sciences",5,2.54
"University of Illinois at Urbana-Champaign",5,2.54
"Belo Horizonte",4,2.03
"COMSATS Institute of Information Technology",4,2.03
"Champaign",4,2.03
"Computer Science and Engineering",4,2.03
"Edmonton",4,2.03
"GESIS - Leibniz Institute for the Social Sciences",4,2.03
"Indian Institute of Technology Patna",4,2.03
"Institute for Research on Innovation & Science",4,2.03
"Patna",4,2.03
"School of Library and Information Studies",4,2.03
"University of Alberta",4,2.03
"University of Chinese Academy of Sciences",4,2.03
"University of Illinois at Chicago",4,2.03
"Wuhan University",4,2.03
"Beijing University of Technology",3,1.52
"Chicago",3,1.52
"Communication Networks and Information Security Research Lab",3,1.52
"Department of Computer Science and Software Engineering",3,1.52
"Department of Library and Information Science",3,1.52
"Department of Psychiatry",3,1.52
"Islamabad",3,1.52
"Ouro Preto",3,1.52
"Shanghai",3,1.52
"Universitas Sriwijaya",3,1.52
"Unter Sachsenhausen 6-8",3,1.52
"Zhongnan University of Economics and Law",3,1.52
"Administrative Headquarters of the Max Planck Society",2,1.02
"Ansan",2,1.02
"Beijing Advanced Innovation Center for Future Internet Technology",2,1.02
"Beijing University of Posts and Telecommunications",2,1.02
"College of Computer",2,1.02
"Department of Computer Science and Information Engineering",2,1.02
"Division for Science and Innovation Studies",2,1.02
"FIZ Karlsruhe",2,1.02
"Faculty of Information Technology",2,1.02
"Hanoi Highway",2,1.02
"Hanyang University",2,1.02
"Heidelberg Institute for Theoretical Studies",2,1.02
"Hofgartenstr. 8",2,1.02
"Inner Mongolia University",2,1.02
"Institute of Information Science",2,1.02
"Institute of Technology",2,1.02
"Intelligent Systems Research Group",2,1.02
"Interdisciplinary Centre for Mathematical and Computational Modelling",2,1.02
"Islamabad Expressway",2,1.02
"KU Leuven",2,1.02
"Kahuta Road",2,1.02
"Km 20",2,1.02
"Konradstr. 6",2,1.02
"Korea Institute of Science and Technology Information (KISTI)",2,1.02
"Mathematics Department",2,1.02
"Microsoft Research",2,1.02
"Munich",2,1.02
"Nanjing",2,1.02
"Nanjing University of Posts and Telecommunications",2,1.02
"National Science Library",2,1.02
"Palembang",2,1.02
"Peng Cheng Laboratory",2,1.02
"Redmond",2,1.02
"School of Computer Science and Software Engineering",2,1.02
"School of Computer Science and Technology",2,1.02
"School of Information",2,1.02
"School of Information Science and Technology",2,1.02
"School of Information Studies",2,1.02
"School of Information and Safety Engineering",2,1.02
"Shanghai Jiao Tong University",2,1.02
"Shenzhen",2,1.02
"South China Normal University",2,1.02
"TU Bergakademie Freiberg",2,1.02
"Thu Duc District",2,1.02
"University of Bologna",2,1.02
"University of California",2,1.02
"University of Koblenz-Landau",2,1.02
"University of Washington",2,1.02
"Wuhan",2,1.02
"Yonsei University",2,1.02
"Zone-V",2,1.02
"1",1,0.51
"1271 Sa-3-Dong",1,0.51
"132",1,0.51
"1601 W. Taylor Street",1,0.51
"1601 W. Taylor Street MC912",1,0.51
"20894",1,0.51
"217 Gajeong-ro",1,0.51
"245 Daehak-ro",1,0.51
"3-20 Rutherford South",1,0.51
"314-79",1,0.51
"343 Hinds Hall",1,0.51
"4a planta",1,0.51
"50 Yonsei-Ro",1,0.51
"501 E. Daniel Street",1,0.51
"55 Hanyangdaehak-ro",1,0.51
"750 The City Drive Suite 490",1,0.51
"A.P. Ershov",1,0.51
"AB",1,0.51
"Academia Sinica",1,0.51
"Agricultural Information Institute",1,0.51
"Al. I. Cuza University of IaE(tm)i",1,0.51
"Alibaba Group",1,0.51
"Allen Institute for AI",1,0.51
"Amazon Development Center",1,0.51
"Arthritis Research UK Epidemiology Unit",1,0.51
"Austin",1,0.51
"BGSB University",1,0.51
"Basel",1,0.51
"Beijing Jiaotong University",1,0.51
"Berlin",1,0.51
"Bethesda MD",1,0.51
"Bibliometria",1,0.51
"Biology and Microbiology",1,0.51
"Bremen",1,0.51
"Bunkyo-machi 1-14",1,0.51
"Busan",1,0.51
"Business",1,0.51
"CEP 31270-010",1,0.51
"CEP 35400-000",1,0.51
"COMSATS University Islamabad",1,0.51
"CRACS",1,0.51
"CS and Statistics",1,0.51
"CWDS",1,0.51
"Caixa Postal 15.064",1,0.51
"Campus Morro Do Cruzeiro",1,0.51
"Campus Ring 1",1,0.51
"Capital University of Science & Technology",1,0.51
"Capital University of Science and Technology",1,0.51
"Centre For Educational Technology",1,0.51
"Centre for R and D Monitoring (ECOOM)",1,0.51
"Centre for Science and Technology Studies",1,0.51
"Chair of Sociology in particular of Modeling and Simulation",1,0.51
"Changsha",1,0.51
"Chaoyang District",1,0.51
"Charlottenstr. 4",1,0.51
"Chengdu",1,0.51
"Chinese Academy of Agricultural Sciences",1,0.51
"Chungnam National University",1,0.51
"Clarivate Analytics",1,0.51
"Clausiusstrasse 50",1,0.51
"College of Computer Science",1,0.51
"College of Computer Yancheng Big Data Research Institute",1,0.51
"College of Computer and Control Engineering",1,0.51
"College of Computers and IT",1,0.51
"College of Engineering and Science",1,0.51
"College of Information Science and Engineering",1,0.51
"Cologne",1,0.51
"Columbus",1,0.51
"Computing College of Computer",1,0.51
"Comsats Institute of Information Technology",1,0.51
"Comsats University Islamabad",1,0.51
"DBLP",1,0.51
"DF",1,0.51
"DISI",1,0.51
"Daejeon",1,0.51
"Daeyeon-dong",1,0.51
"Dalle Molle Institute for Artificial Intelligence Research (IDSIA)",1,0.51
"Data Security and Intelligent Processing",1,0.51
"De Boelelaan 1081A",1,0.51
"Dell Medical School",1,0.51
"Departament de Ciencies Experimentals I de la Salut (CEXS)",1,0.51
"Departamento de Ciencia Da Computacao",1,0.51
"Departamento de Ciencias de la Computacion",1,0.51
"Department of Biochemistry",1,0.51
"Department of Business Administration",1,0.51
"Department of Computer Science and Technology",1,0.51
"Department of Computing",1,0.51
"Department of Economics",1,0.51
"Department of Economics Ohio State University",1,0.51
"Department of Economics and Statistics",1,0.51
"Department of Electrical and Computer Engineering",1,0.51
"Department of Engineering and Management",1,0.51
"Department of Humanities and Social Sciences",1,0.51
"Department of Informatics",1,0.51
"Department of Information Management",1,0.51
"Department of Information Technology",1,0.51
"Department of Library",1,0.51
"Department of Library Information and Archives Management",1,0.51
"Department of MSI and ECOOM",1,0.51
"Department of Marketing and Trade Deals",1,0.51
"Department of Mathematics and Information Education",1,0.51
"Department of Overseas Information",1,0.51
"Department of Political and Social Sciences",1,0.51
"Department of Psychiatry (MC912)",1,0.51
"Departments of Rheumatology and Research and Development",1,0.51
"Dept. MSI",1,0.51
"Dept. Management and Economics",1,0.51
"Dept. of Appl. Math.",1,0.51
"Dept. of Computer Science",1,0.51
"Deptt. of Information Technology",1,0.51
"Detroit",1,0.51
"Dipartimento di Ingegneria dell'Impresa",1,0.51
"Division of the Humanities",1,0.51
"Dr. Aiguader 88",1,0.51
"Drexel University",1,0.51
"Dudley",1,0.51
"Dudley Group NHS Foundation Trust (Teaching Trust of the University of Birmingham",1,0.51
"Dusseldorf",1,0.51
"ECOOM",1,0.51
"EE and CS",1,0.51
"ETH Zurich",1,0.51
"East China Normal University",1,0.51
"Edge Hill University",1,0.51
"Evanston",1,0.51
"FEB",1,0.51
"FIZ Karlsruhe - Leibniz Institute for Information Infrastructure",1,0.51
"Faculty of Computer Sciences",1,0.51
"Faculty of Electronics and Information Technology",1,0.51
"Faculty of Information and Technology",1,0.51
"Federal University of Minas Gerais",1,0.51
"Fisciano",1,0.51
"Foundation University",1,0.51
"Foundation University Institute of Rehabilitation Sciences",1,0.51
"Fraunhofer Institute for Applied Information Technology",1,0.51
"Freiberg",1,0.51
"Fundacio Parc de Recerca Biomedica de Barcelona (FPRBB)",1,0.51
"GESIS - Leibniz-Institute for the Social Sciences",1,0.51
"GESIS Leibniz Institute for the Social Sciences",1,0.51
"GESIS Leibniz-Institute for the Social Sciences",1,0.51
"Gesis - Leibniz-Institute for the Social Sciences",1,0.51
"Ghent University",1,0.51
"Google Engineering",1,0.51
"Graduate School of Library and Information Science",1,0.51
"Gyeonggi-Do",1,0.51
"Haidian District",1,0.51
"Heidelberg Institute for Theoretical Studies GGmbH",1,0.51
"Heidelberg Institute for Theoretical Studies gGmbH",1,0.51
"Heifei",1,0.51
"Heinrich-Heine-Universitat Dusseldorf",1,0.51
"Hitotsubashi 2-1-2",1,0.51
"Hochschule fur Technik und Wirtschaft",1,0.51
"Hochschulring 18",1,0.51
"Hohhot",1,0.51
"Hong Kong University of Science and Technology",1,0.51
"Huazhong University of Science and Technology",1,0.51
"IMT Institute for Advanced Studies Lucca",1,0.51
"INESC TEC",1,0.51
"Ikenobe 3011-2",1,0.51
"Indian Institute of Technology",1,0.51
"Indiana University",1,0.51
"Inesc Tec and University of Tras-os-Montes e Alto Douro",1,0.51
"Informatics Research Center",1,0.51
"Information and Archives Management",1,0.51
"Information and Electrical Engineering",1,0.51
"Inner Mongilia A.R. Key Laboratory of Data Mining and Knowledge Engineering",1,0.51
"Institut Municipal d'Investigacio Medica (IMIM)",1,0.51
"Institute AIFB",1,0.51
"Institute for Theoretical Physics",1,0.51
"Institute for Web Science and Technologies (WeST)",1,0.51
"Institute of Artificial Intelligence",1,0.51
"Institute of Computational Linguistics",1,0.51
"Institute of Computing",1,0.51
"Institute of Informatics Systems",1,0.51
"Institute of Information Engineering",1,0.51
"Institute of Microelectronics",1,0.51
"Institute of Physiotherapy and Rehabilitation Sciences",1,0.51
"Institute of Scientific and Technical Information of China",1,0.51
"Instituto de Informatica",1,0.51
"Intelligent System Research Group",1,0.51
"International Center for Higher Education Research",1,0.51
"International Islamic University",1,0.51
"International Islamic University Islamabad",1,0.51
"Irvine",1,0.51
"Islamic World Science Citation Center",1,0.51
"Jacobs University Bremen",1,0.51
"Jiangsu Key Laboratory of Big",1,0.51
"Jinan",1,0.51
"Kaggle",1,0.51
