item,count,f
"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",26,13.20
"Scientometrics",20,10.15
"Proceedings of the ACM/IEEE Joint Conference on Digital Libraries",15,7.61
"Journal of the Association for Information Science and Technology",8,4.06
"",4,2.03
"Data Analysis and Knowledge Discovery",4,2.03
"Journal of the American Society for Information Science and Technology",4,2.03
"CEUR Workshop Proceedings",3,1.52
"IEEE Access",3,1.52
"International Conference on Information and Knowledge Management, Proceedings",3,1.52
"Journal of Information Science",3,1.52
"Journal of Informetrics",3,1.52
"Proceedings of the ACM International Conference on Digital Libraries",3,1.52
"ACM International Conference Proceeding Series",2,1.02
"ACM Transactions on Knowledge Discovery from Data",2,1.02
"Arabian Journal for Science and Engineering",2,1.02
"Communications in Computer and Information Science",2,1.02
"DML 2011 - Towards a Digital Mathematics Library, Proceedings",2,1.02
"Information Processing and Management",2,1.02
"Journal of Biomedical Discovery and Collaboration",2,1.02
"Journal of the American Medical Informatics Association",2,1.02
"Proceedings - 2014 IEEE International Conference on Big Data, IEEE Big Data 2014",2,1.02
"Proceedings - 3rd IEEE/ACM International Conference on Big Data Computing, Applications and Technologies, BDCAT 2016",2,1.02
"Quantitative Science Studies",2,1.02
"Telkomnika (Telecommunication Computing Electronics and Control)",2,1.02
"Turkish Journal of Electrical Engineering and Computer Sciences",2,1.02
" G.A.; Karlsruhe Institute of Technology",1,0.51
"17th International Conference on Scientometrics and Informetrics, ISSI 2019 - Proceedings",1,0.51
"18th International Conference on Scientometrics and Informetrics, ISSI 2021",1,0.51
"2014 7th International Conference on Contemporary Computing, IC3 2014",1,0.51
"2016 IEEE International Conference on Current Trends in Advanced Computing, ICCTAC 2016",1,0.51
"2016 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2016 - Conference Proceedings",1,0.51
"2017 43rd Latin American Computer Conference, CLEI 2017",1,0.51
"2017 Intelligent Systems Conference, IntelliSys 2017",1,0.51
"2018 10th International Conference on Communication Systems and Networks, COMSNETS 2018",1,0.51
"33rd AAAI Conference on Artificial Intelligence, AAAI 2019, 31st Innovative Applications of Artificial Intelligence Conference, IAAI 2019 and the 9th AAAI Symposium on Educational Advances in Artificial Intelligence, EAAI 2019",1,0.51
"AAAI 2020 - 34th AAAI Conference on Artificial Intelligence",1,0.51
"AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium",1,0.51
