item,count,f
"AUTHOR NAME DISAMBIGUATIONS",94,47.72
"none available",58,29.44
"DIGITAL LIBRARIES",52,26.40
"NAME DISAMBIGUATION",48,24.37
"BIBLIOGRAPHIES",19,9.64
"SEMANTICS",18,9.14
"CLUSTERING ALGORITHMS",17,8.63
"DATABASE SYSTEMS",17,8.63
"INFORMATION SERVICES",15,7.61
"LEARNING SYSTEMS",15,7.61
"BIBLIOGRAPHIC DATABASE",13,6.60
"ARTICLE",12,6.09
"BIBLIOGRAPHIC RETRIEVAL SYSTEMS",12,6.09
"DISAMBIGUATION METHOD",11,5.58
"EMBEDDINGS",11,5.58
"ARTIFICIAL INTELLIGENCE",10,5.08
"INFORMATION RETRIEVAL",10,5.08
"BIBLIOGRAPHIC DATA",9,4.57
"CLASSIFICATION (OF INFORMATION)",9,4.57
"DATA MINING",9,4.57
"DECISION TREES",9,4.57
"RANDOM FORESTS",9,4.57
"BIG DATA",8,4.06
"CLUSTERING",8,4.06
"HUMAN",8,4.06
"MEDLINE",8,4.06
"VOCABULARY CONTROL",8,4.06
"WRITING",8,4.06
"AUTHORSHIP",7,3.55
"BIBLIOMETRICS",7,3.55
"CITATION ANALYSIS",7,3.55
"PUBLISHING",7,3.55
"SEARCH ENGINES",7,3.55
"STATE-OF-THE-ART METHODS",7,3.55
"SUPERVISED LEARNING",7,3.55
"AUTHOR DISAMBIGUATION",6,3.05
"MULTIPLE AUTHORS",6,3.05
"BIBLIOGRAPHIC RECORDS",5,2.54
"CLUSTER ANALYSIS",5,2.54
"COMMUNITY DETECTION",5,2.54
"GRAPH ALGORITHMS",5,2.54
"GRAPHIC METHODS",5,2.54
"HETEROGENEOUS INFORMATION",5,2.54
"INFORMATION ANALYSIS",5,2.54
"INFORMATION MANAGEMENT",5,2.54
"INFORMATION SYSTEMS",5,2.54
"MACHINE LEARNING",5,2.54
"METADATA",5,2.54
"PUBLICATION",5,2.54
"PUBMED",5,2.54
"REPRESENTATION LEARNING",5,2.54
"RESEARCH",5,2.54
"SOCIAL NETWORKING (ONLINE)",5,2.54
"WEB OF SCIENCE",5,2.54
"ACADEMIC PUBLICATIONS",4,2.03
"ACADEMIC SEARCH",4,2.03
"COMMUNITY DETECTION ALGORITHMS",4,2.03
"DATA HANDLING",4,2.03
"DATABASES, BIBLIOGRAPHIC",4,2.03
"DATABASES, FACTUAL",4,2.03
"DEEP LEARNING",4,2.03
"FACTUAL DATABASE",4,2.03
"FEATURE ENGINEERINGS",4,2.03
"HEURISTIC METHODS",4,2.03
"HIER-ARCHICAL CLUSTERING",4,2.03
"INFORMATION USE",4,2.03
"MEDICAL SUBJECT HEADINGS",4,2.03
"NATURAL LANGUAGE PROCESSING SYSTEMS",4,2.03
"NEURAL NETWORKS",4,2.03
"NOMENCLATURE",4,2.03
"POPULATION DYNAMICS",4,2.03
"PROBABILITY",4,2.03
"REAL-WORLD",4,2.03
"SEMANTIC SIMILARITY",4,2.03
"SIMILARITY FUNCTIONS",4,2.03
"SOCIAL NETWORKS",4,2.03
"SUPERVISED MACHINE LEARNING",4,2.03
"TRAINING EXAMPLE",4,2.03
"VECTOR SPACES",4,2.03
"WEB INFORMATION",4,2.03
"WORLD WIDE WEB",4,2.03
"ACADEMIC COMMUNITY",3,1.52
"AGGLOMERATIVE CLUSTERING",3,1.52
"ALGORITHM",3,1.52
"ALGORITHMS",3,1.52
"BASELINE METHODS",3,1.52
"BIBLIOGRAPHIC INFORMATION",3,1.52
"BIBLIOMETRIC",3,1.52
"BIBLIOMETRIC ANALYSIS",3,1.52
"BINARY CLASSIFIERS",3,1.52
"CO-AUTHORSHIP NETWORKS",3,1.52
"COCITATION",3,1.52
"COMPLEX NETWORKS",3,1.52
"DATA INTEGRATION",3,1.52
"DOMAIN SPECIFIC",3,1.52
"E-MAIL ADDRESS",3,1.52
"ENTITY DISAMBIGUATION",3,1.52
"FEATURE EXTRACTION",3,1.52
"GRAPH THEORY",3,1.52
"HETEROGENEOUS SOURCES",3,1.52
"KNOWLEDGE MANAGEMENT",3,1.52
"LARGE DATASET",3,1.52
"LIBRARY",3,1.52
"NAMES",3,1.52
"NEGATIVE SAMPLES",3,1.52
"PAIR-WISE COMPARISON",3,1.52
"PERIODICALS AS TOPIC",3,1.52
"SCIENTIFIC LITERATURE",3,1.52
"STATE OF THE ART",3,1.52
"STRUCTURAL CLUSTERING",3,1.52
"TRAINING SETS",3,1.52
"UNIQUE IDENTIFIERS",3,1.52
"UNSUPERVISED APPROACHES",3,1.52
"USER INTERFACES",3,1.52
"VISUALIZATION",3,1.52
"'",2,1.02
"ACADEMIC FIELDS",2,1.02
"AUTHOR IDENTIFICATION",2,1.02
"AUTHOR NAME DISAMBIGUATION",2,1.02
"AUTHOR NAME HOMONYMS",2,1.02
"AUTHOR PROFILES",2,1.02
"AUTOMATIC METHOD",2,1.02
"BENCHMARK DATASETS",2,1.02
"BENCHMARKING",2,1.02
"BINARY CLASSIFICATION",2,1.02
"CLASSIFICATION ALGORITHM",2,1.02
"CLUSTERING METHODS",2,1.02
"CO-AUTHOR NETWORKS",2,1.02
"COLLABORATION",2,1.02
"CONTENT INFORMATION",2,1.02
"CONTROLLED CONDITIONS",2,1.02
"CONVOLUTION",2,1.02
"CROWDSOURCING",2,1.02
"DATA SET",2,1.02
"DATA SETS",2,1.02
"DEEP NEURAL NETWORKS",2,1.02
"DISAMBIGUATION",2,1.02
"DISTANCE FUNCTIONS",2,1.02
"EMPIRICAL STUDIES",2,1.02
"ERRORS",2,1.02
"EXPERIMENTS",2,1.02
"EXTRACTION",2,1.02
"F1 SCORES",2,1.02
