item,count,f
"Computer Science Applications",48,24.37
"Library and Information Sciences",46,23.35
"General Computer Science",43,21.83
"Information Systems",38,19.29
"none available",31,15.74
"Theoretical Computer Science",27,13.71
"Software",26,13.20
"General Engineering",23,11.68
"Computer Networks and Communications",21,10.66
"General Social Sciences",20,10.15
"Artificial Intelligence",16,8.12
"Electrical and Electronic Engineering",13,6.60
"Information Systems and Management",12,6.09
"Computer Vision and Pattern Recognition",8,4.06
"Control and Systems Engineering",8,4.06
"Human-Computer Interaction",7,3.55
"Electronic, Optical and Magnetic Materials",6,3.05
"General Medicine",6,3.05
"Computer Graphics and Computer-Aided Design",5,2.54
"Education",5,2.54
"General Materials Science",5,2.54
"Health Informatics",5,2.54
"Industrial and Manufacturing Engineering",5,2.54
"Instrumentation",5,2.54
"Management Science and Operations Research",5,2.54
"Signal Processing",5,2.54
"Biomedical Engineering",4,2.03
"Condensed Matter Physics",4,2.03
"General Mathematics",4,2.03
"Hardware and Architecture",4,2.03
"Mechanical Engineering",4,2.03
"Media Technology",4,2.03
"Modelling and Simulation",4,2.03
"Multidisciplinary",4,2.03
"Aerospace Engineering",3,1.52
"Applied Mathematics",3,1.52
"Civil and Structural Engineering",3,1.52
"Computer Science (miscellaneous)",3,1.52
"Energy Engineering and Power Technology",3,1.52
"General Business, Management and Accounting",3,1.52
"General Chemical Engineering",3,1.52
"General Decision Sciences",3,1.52
"Mechanics of Materials",3,1.52
"Renewable Energy, Sustainability and the Environment",3,1.52
"Space and Planetary Science",3,1.52
"Surfaces, Coatings and Films",3,1.52
"Acoustics and Ultrasonics",2,1.02
"Architecture ",2,1.02
"Atomic and Molecular Physics, and Optics",2,1.02
"Bioengineering",2,1.02
"Biotechnology",2,1.02
"Building and Construction",2,1.02
"Ceramics and Composites",2,1.02
"Chemical Health and Safety",2,1.02
"Communication",2,1.02
"Computational Theory and Mathematics",2,1.02
"Control and Optimization",2,1.02
"Development",2,1.02
"Energy (miscellaneous)",2,1.02
"Environmental Engineering",2,1.02
"Forestry",2,1.02
"Fuel Technology",2,1.02
"General Energy",2,1.02
"General Environmental Science",2,1.02
"General Physics and Astronomy",2,1.02
"Genetics",2,1.02
"Geography, Planning and Development",2,1.02
"Geotechnical Engineering and Engineering Geology",2,1.02
"Health(social science)",2,1.02
"History and Philosophy of Science",2,1.02
"Human Factors and Ergonomics",2,1.02
"Language and Linguistics",2,1.02
"Linguistics and Language",2,1.02
"Management of Technology and Innovation",2,1.02
"Materials Science (miscellaneous)",2,1.02
"Nature and Landscape Conservation",2,1.02
"Ocean Engineering",2,1.02
"Oceanography",2,1.02
"Organic Chemistry",2,1.02
"Orthopedics and Sports Medicine",2,1.02
"Pharmaceutical Science",2,1.02
"Physical Therapy, Sports Therapy and Rehabilitation",2,1.02
"Plant Science",2,1.02
"Political Science and International Relations",2,1.02
"Pollution",2,1.02
"Process Chemistry and Technology",2,1.02
"Radiology Nuclear Medicine and imaging",2,1.02
"Safety, Risk, Reliability and Quality",2,1.02
"Sociology and Political Science",2,1.02
"Statistics and Probability",2,1.02
"Water Science and Technology",2,1.02
"Analysis",1,0.51
"Cardiology and Cardiovascular Medicine",1,0.51
"Cognitive Neuroscience",1,0.51
"Computational Mathematics",1,0.51
"General Agricultural and Biological Sciences",1,0.51
"General Biochemistry, Genetics and Molecular Biology",1,0.51
"Materials Chemistry",1,0.51
"Philosophy",1,0.51
"Physical and Theoretical Chemistry",1,0.51
"Radiation",1,0.51
"Statistical and Nonlinear Physics",1,0.51
