item,count,f
"Goncalves MA",13,6.88
"Kim J",13,6.88
"[no Author name AVAILABLE]",13,6.88
"Ferreira AA",12,6.35
"Laender AHF",11,5.82
"Asghar S",6,3.17
"Hussain I",6,3.17
"Smalheiser NR",6,3.17
"Chandra J",5,2.65
"Giles CL",5,2.65
"Mondal S",5,2.65
"Torvik VI",5,2.65
"Veloso A",5,2.65
"Zhang L",5,2.65
"Jung H",4,2.12
"Kim K",4,2.12
"Muller M-C",4,2.12
"Owen-Smith J",4,2.12
"Strotmann A",4,2.12
"Zhang Y",4,2.12
"Zhao D",4,2.12
"Zhu J",4,2.12
"Backes T",3,1.59
"Darmawahyuni A",3,1.59
"Firdaus",3,1.59
"Kim S",3,1.59
"Malik RF",3,1.59
"Mayr P",3,1.59
"Nurmaini S",3,1.59
"Pooja KM",3,1.59
"Rachmatullah MN",3,1.59
"Santana AF",3,1.59
"Song M",3,1.59
"Wang R",3,1.59
"Wu Y",3,1.59
"Ban Z",2,1.06
"Bhowmick PK",2,1.06
"Bolikowski L",2,1.06
"Bornmann L",2,1.06
"Choi J",2,1.06
"Cui Y",2,1.06
"D'angelo CA",2,1.06
"Das PP",2,1.06
"Daud A",2,1.06
"Dendek PJ",2,1.06
"Do T",2,1.06
"E X",2,1.06
"Han H",2,1.06
"Ho J-M",2,1.06
"Huang Y",2,1.06
"Huynh T",2,1.06
"Juliano AH",2,1.06
"Khabsa M",2,1.06
"Kim T",2,1.06
"Li S",2,1.06
"Li Z",2,1.06
"Liu J",2,1.06
"Liu W",2,1.06
"Lu W",2,1.06
"Ma X",2,1.06
"Mandava V",2,1.06
"Momeni F",2,1.06
"Nugraha TA",2,1.06
"Peng H-T",2,1.06
"Pooja K",2,1.06
"Putra VOK",2,1.06
"Rehs A",2,1.06
"Reitz F",2,1.06
"Roy SB",2,1.06
"Savvana S",2,1.06
"Schulz J",2,1.06
"Shin D",2,1.06
"Shoaib M",2,1.06
"Swanson DR",2,1.06
"Tang Y",2,1.06
"Tekles A",2,1.06
"Treeratpituk P",2,1.06
"Wang W",2,1.06
"Wang X",2,1.06
"Waqas H",2,1.06
"Weeber M",2,1.06
"Wu C",2,1.06
"Xu J",2,1.06
"Xu X",2,1.06
"Yang F",2,1.06
"Yang K-H",2,1.06
"Zhang S",2,1.06
"Zhang W",2,1.06
"Zhang Z",2,1.06
"Abbas H",1,0.53
"Abdulhayoglu MA",1,0.53
"Abramo G",1,0.53
"Adachi J",1,0.53
"Aleyasen A",1,0.53
"Ali R",1,0.53
"Almeida JM",1,0.53
"Amplayo RK",1,0.53
"Aochen L",1,0.53
"Apanovich Z",1,0.53
"Arif T",1,0.53
"Asger M",1,0.53
"Azim ME",1,0.53
"Bai L",1,0.53
"Bannister A",1,0.53
"Bao P",1,0.53
"Bernardi R",1,0.53
"Bessis N",1,0.53
"Bonifield G",1,0.53
"Bornholdt S",1,0.53
"Boukhers Z",1,0.53
"Bu Y",1,0.53
"Bubela T",1,0.53
"Cami J",1,0.53
"Carvalho AMBR",1,0.53
"Cervello R",1,0.53
"Chattopadhyay S",1,0.53
"Chen C",1,0.53
"Chen W",1,0.53
"Chen Z",1,0.53
"Cheng Q",1,0.53
"Choi S-P",1,0.53
"Chuanming Y",1,0.53
"Comeau DC",1,0.53
"Cong G",1,0.53
"Correia A",1,0.53
"Costa AR",1,0.53
"Costa MR",1,0.53
"Cui W",1,0.53
"Cukierski W",1,0.53
"Cullcay J",1,0.53
"D'souza JL",1,0.53
"Dadas S",1,0.53
"Dalessandro B",1,0.53
"De Cock M",1,0.53
"De Souza EA",1,0.53
"De Souza rodrigues N",1,0.53
"De Stefano D",1,0.53
"Deb SB",1,0.53
"Deng S",1,0.53
"Diesner J",1,0.53
"Dietze S",1,0.53
"Ding",1,0.53
"Ding X-H",1,0.53
"Ding Y",1,0.53
"Dogan RI",1,0.53
"Downey D",1,0.53
"Du R",1,0.53
"Ebeid IA",1,0.53
"El Qiliqsandy M",1,0.53
"Elliott S",1,0.53
"Endovitskiy DA",1,0.53
"Espinoza M",1,0.53
"Falkman G",1,0.53
"Fan W",1,0.53
"Farber M",1,0.53
"Faris R",1,0.53
"Feldman S",1,0.53
"Ferreira A",1,0.53
"Fonseca B",1,0.53
"Fotache M",1,0.53
"Fox EA",1,0.53
"Fu C",1,0.53
"Fu L",1,0.53
"Fu Y",1,0.53
"Fuccella V",1,0.53
"Fung GPC",1,0.53
"Gan X",1,0.53
"Gasparyan AY",1,0.53
"Gim J",1,0.53
"Giuffrida C",1,0.53
"Godoi TA",1,0.53
"Gu S",1,0.53
"Guimaraes D",1,0.53
"Hammarfelt B",1,0.53
"Hamner B",1,0.53
"Hazra R",1,0.53
"He C",1,0.53
"He J",1,0.53
"He X",1,0.53
"Hedeler C",1,0.53
"Helbing D",1,0.53
"Heuser CA",1,0.53
"Hoang K",1,0.53
"Hsu W",1,0.53
"Huang T",1,0.53
"Hutt M-T",1,0.53
"Huynh D",1,0.53
"Hwang S-W",1,0.53
"Isachenko V",1,0.53
"Jameel S",1,0.53
"Jang Y",1,0.53
"Jeong D-H",1,0.53
"Jeong M",1,0.53
"Jhawar K",1,0.53
"Ji L",1,0.53
"Jia Y",1,0.53
"Jiang C",1,0.53
"Jiang J-Y",1,0.53
"Jonnalagadda S",1,0.53
"Kalashnikov DV",1,0.53
"Kang I-S",1,0.53
"Kang J",1,0.53
"Karlsson A",1,0.53
"Kastner S",1,0.53
"Kempf AO",1,0.53
"Khiyal M",1,0.53
"Khiyal MSH",1,0.53
