item,count,f
"United States",39,20.63
"China",35,18.52
"Germany",22,11.64
"Brazil",16,8.47
"none available",14,7.41
"Pakistan",12,6.35
"South Korea",11,5.82
"India",9,4.76
"Italy",7,3.70
"Australia",5,2.65
"Canada",4,2.12
"United Kingdom",4,2.12
"Belgium",3,1.59
"Indonesia",3,1.59
"Japan",3,1.59
"Poland",3,1.59
"Taiwan",3,1.59
"English",2,1.06
"Netherlands",2,1.06
"Portugal",2,1.06
"Russian Federation",2,1.06
"Switzerland",2,1.06
"Viet Nam",2,1.06
"Chinese",1,0.53
"Ecuador",1,0.53
"Hong Kong",1,0.53
"Iran",1,0.53
"Kazakhstan",1,0.53
"Norway",1,0.53
"Romania",1,0.53
"Saudi Arabia",1,0.53
"Singapore",1,0.53
"Spain",1,0.53
"Sweden",1,0.53
"Thailand",1,0.53
