item,count,f
"none available",23,12.17
"Department of Computer Science",15,7.94
"Ann Arbor",10,5.29
"University of Michigan",10,5.29
"Department of Computer Science and Engineering",9,4.76
"Survey Research Center",9,4.76
"Universidade Federal de Minas Gerais",9,4.76
"Departamento de Ciencia da Computacao",8,4.23
"Institute for Social Research",8,4.23
"Universidade Federal de Ouro Preto",8,4.23
"330 Packard Street",7,3.70
"Beijing",7,3.70
"Departamento de Computacao",7,3.70
"Department of Sociology",7,3.70
"Institute for Research on Innovation and Science",7,3.70
"School of Information Management",6,3.17
"University Park",6,3.17
"Information Sciences and Technology",5,2.65
"Pennsylvania State University",5,2.65
"School of Computer Science",5,2.65
"School of Information Sciences",5,2.65
"University of Illinois at Urbana-Champaign",5,2.65
"Belo Horizonte",4,2.12
"COMSATS Institute of Information Technology",4,2.12
"Champaign",4,2.12
"Chinese Academy of Sciences",4,2.12
"Computer Science and Engineering",4,2.12
"Edmonton",4,2.12
"GESIS - Leibniz Institute for the Social Sciences",4,2.12
"Indian Institute of Technology Patna",4,2.12
"Institute for Research on Innovation & Science",4,2.12
"Patna",4,2.12
"School of Library and Information Studies",4,2.12
"University of Alberta",4,2.12
"University of Illinois at Chicago",4,2.12
"Wuhan University",4,2.12
"Beijing University of Technology",3,1.59
"Chicago",3,1.59
"Communication Networks and Information Security Research Lab",3,1.59
"Department of Library and Information Science",3,1.59
"Department of Psychiatry",3,1.59
"Ouro Preto",3,1.59
"Shanghai",3,1.59
"Universitas Sriwijaya",3,1.59
"University of Chinese Academy of Sciences",3,1.59
"Unter Sachsenhausen 6-8",3,1.59
"Zhongnan University of Economics and Law",3,1.59
"Administrative Headquarters of the Max Planck Society",2,1.06
"Ansan",2,1.06
"Beijing Advanced Innovation Center for Future Internet Technology",2,1.06
"Beijing University of Posts and Telecommunications",2,1.06
"College of Computer",2,1.06
"Department of Computer Science and Information Engineering",2,1.06
"Department of Computer Science and Software Engineering",2,1.06
"Division for Science and Innovation Studies",2,1.06
"FIZ Karlsruhe",2,1.06
"Faculty of Information Technology",2,1.06
"Hanoi Highway",2,1.06
"Hanyang University",2,1.06
"Heidelberg Institute for Theoretical Studies",2,1.06
"Hofgartenstr. 8",2,1.06
"Inner Mongolia University",2,1.06
"Institute of Information Science",2,1.06
"Institute of Technology",2,1.06
"Intelligent Systems Research Group",2,1.06
"Interdisciplinary Centre for Mathematical and Computational Modelling",2,1.06
"Islamabad",2,1.06
"Islamabad Expressway",2,1.06
"KU Leuven",2,1.06
"Kahuta Road",2,1.06
"Km 20",2,1.06
"Konradstr. 6",2,1.06
"Korea Institute of Science and Technology Information (KISTI)",2,1.06
"Mathematics Department",2,1.06
"Microsoft Research",2,1.06
"Munich",2,1.06
"Nanjing",2,1.06
"Nanjing University of Posts and Telecommunications",2,1.06
"Palembang",2,1.06
"Peng Cheng Laboratory",2,1.06
"Redmond",2,1.06
"School of Computer Science and Software Engineering",2,1.06
"School of Computer Science and Technology",2,1.06
"School of Information",2,1.06
"School of Information Science and Technology",2,1.06
"School of Information Studies",2,1.06
"School of Information and Safety Engineering",2,1.06
"Shanghai Jiao Tong University",2,1.06
"Shenzhen",2,1.06
"South China Normal University",2,1.06
"TU Bergakademie Freiberg",2,1.06
"Thu Duc District",2,1.06
"University of California",2,1.06
"University of Washington",2,1.06
"Wuhan",2,1.06
"Yonsei University",2,1.06
"Zone-V",2,1.06
"1",1,0.53
"1271 Sa-3-Dong",1,0.53
"132",1,0.53
"1601 W. Taylor Street",1,0.53
"1601 W. Taylor Street MC912",1,0.53
"20894",1,0.53
"217 Gajeong-ro",1,0.53
"245 Daehak-ro",1,0.53
"3-20 Rutherford South",1,0.53
"314-79",1,0.53
"343 Hinds Hall",1,0.53
"4a planta",1,0.53
"50 Yonsei-Ro",1,0.53
"501 E. Daniel Street",1,0.53
"55 Hanyangdaehak-ro",1,0.53
"750 The City Drive Suite 490",1,0.53
"A.P. Ershov",1,0.53
"AB",1,0.53
"Academia Sinica",1,0.53
"Agricultural Information Institute",1,0.53
"Al. I. Cuza University of IaE(tm)i",1,0.53
"Alibaba Group",1,0.53
"Allen Institute for AI",1,0.53
"Amazon Development Center",1,0.53
"Arthritis Research UK Epidemiology Unit",1,0.53
"Austin",1,0.53
"BGSB University",1,0.53
"Basel",1,0.53
"Beijing Jiaotong University",1,0.53
"Berlin",1,0.53
"Bethesda MD",1,0.53
"Bibliometria",1,0.53
"Biology and Microbiology",1,0.53
"Bremen",1,0.53
"Bunkyo-machi 1-14",1,0.53
"Busan",1,0.53
"Business",1,0.53
"CEP 31270-010",1,0.53
"CEP 35400-000",1,0.53
"COMSATS University Islamabad",1,0.53
"CRACS",1,0.53
"CS and Statistics",1,0.53
"CWDS",1,0.53
"Caixa Postal 15.064",1,0.53
"Campus Morro Do Cruzeiro",1,0.53
"Campus Ring 1",1,0.53
"Capital University of Science & Technology",1,0.53
"Capital University of Science and Technology",1,0.53
"Centre For Educational Technology",1,0.53
"Centre for R and D Monitoring (ECOOM)",1,0.53
"Centre for Science and Technology Studies",1,0.53
"Chair of Sociology in particular of Modeling and Simulation",1,0.53
"Changsha",1,0.53
"Chaoyang District",1,0.53
"Charlottenstr. 4",1,0.53
"Chinese Academy of Agricultural Sciences",1,0.53
"Chungnam National University",1,0.53
"Clarivate Analytics",1,0.53
"Clausiusstrasse 50",1,0.53
"College of Computer Science",1,0.53
"College of Computer Yancheng Big Data Research Institute",1,0.53
