item,count,f
"AUTHOR NAME DISAMBIGUATIONS",92,48.68
"none available",54,28.57
"DIGITAL LIBRARIES",50,26.46
"NAME DISAMBIGUATION",48,25.40
"BIBLIOGRAPHIES",18,9.52
"CLUSTERING ALGORITHMS",17,8.99
"DATABASE SYSTEMS",17,8.99
"SEMANTICS",17,8.99
"INFORMATION SERVICES",15,7.94
"LEARNING SYSTEMS",15,7.94
"BIBLIOGRAPHIC DATABASE",13,6.88
"ARTICLE",12,6.35
"BIBLIOGRAPHIC RETRIEVAL SYSTEMS",11,5.82
"DISAMBIGUATION METHOD",11,5.82
"ARTIFICIAL INTELLIGENCE",10,5.29
"EMBEDDINGS",10,5.29
"INFORMATION RETRIEVAL",10,5.29
"DATA MINING",9,4.76
"DECISION TREES",9,4.76
"RANDOM FORESTS",9,4.76
"BIBLIOGRAPHIC DATA",8,4.23
"BIG DATA",8,4.23
"CLASSIFICATION (OF INFORMATION)",8,4.23
"CLUSTERING",8,4.23
"HUMAN",8,4.23
"MEDLINE",8,4.23
"VOCABULARY CONTROL",8,4.23
"WRITING",8,4.23
"AUTHORSHIP",7,3.70
"BIBLIOMETRICS",7,3.70
"CITATION ANALYSIS",7,3.70
"PUBLISHING",7,3.70
"SEARCH ENGINES",7,3.70
"STATE-OF-THE-ART METHODS",7,3.70
"SUPERVISED LEARNING",7,3.70
"AUTHOR DISAMBIGUATION",6,3.17
"MULTIPLE AUTHORS",6,3.17
"CLUSTER ANALYSIS",5,2.65
"COMMUNITY DETECTION",5,2.65
"GRAPH ALGORITHMS",5,2.65
"GRAPHIC METHODS",5,2.65
"HETEROGENEOUS INFORMATION",5,2.65
"INFORMATION ANALYSIS",5,2.65
"INFORMATION MANAGEMENT",5,2.65
"INFORMATION SYSTEMS",5,2.65
"MACHINE LEARNING",5,2.65
"METADATA",5,2.65
"PUBLICATION",5,2.65
"PUBMED",5,2.65
"REPRESENTATION LEARNING",5,2.65
"RESEARCH",5,2.65
"SOCIAL NETWORKING (ONLINE)",5,2.65
"WEB OF SCIENCE",5,2.65
"ACADEMIC PUBLICATIONS",4,2.12
"ACADEMIC SEARCH",4,2.12
"BIBLIOGRAPHIC RECORDS",4,2.12
"COMMUNITY DETECTION ALGORITHMS",4,2.12
"DATA HANDLING",4,2.12
"DATABASES, BIBLIOGRAPHIC",4,2.12
"DATABASES, FACTUAL",4,2.12
"FACTUAL DATABASE",4,2.12
"FEATURE ENGINEERINGS",4,2.12
"HEURISTIC METHODS",4,2.12
"HIER-ARCHICAL CLUSTERING",4,2.12
"INFORMATION USE",4,2.12
"MEDICAL SUBJECT HEADINGS",4,2.12
"NATURAL LANGUAGE PROCESSING SYSTEMS",4,2.12
"NOMENCLATURE",4,2.12
"POPULATION DYNAMICS",4,2.12
"PROBABILITY",4,2.12
"REAL-WORLD",4,2.12
"SEMANTIC SIMILARITY",4,2.12
"SIMILARITY FUNCTIONS",4,2.12
"SOCIAL NETWORKS",4,2.12
"SUPERVISED MACHINE LEARNING",4,2.12
"TRAINING EXAMPLE",4,2.12
"VECTOR SPACES",4,2.12
"WEB INFORMATION",4,2.12
"WORLD WIDE WEB",4,2.12
"ACADEMIC COMMUNITY",3,1.59
"AGGLOMERATIVE CLUSTERING",3,1.59
"ALGORITHM",3,1.59
"ALGORITHMS",3,1.59
"BASELINE METHODS",3,1.59
"BIBLIOGRAPHIC INFORMATION",3,1.59
"BIBLIOMETRIC",3,1.59
"BIBLIOMETRIC ANALYSIS",3,1.59
"BINARY CLASSIFIERS",3,1.59
