item,count,f
"Shin D, 2014, SCIENTOMETRICS, 100",31,16.40
"Levin M, 2012, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63",29,15.34
"Cota RG, 2010, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61",24,12.70
"Torvik VI, 2005, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 56",24,12.70
"Smalheiser NR, 2009, ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY, 43",23,12.17
"Tang J, 2012, IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING, 24",23,12.17
"Torvik VI, 2009, ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA, 3",22,11.64
"Ferreira AA, 2012, ACM SIGMOD RECORD, 41",21,11.11
"Ferreira AA, 2012, SIGMOD RECORD, 41",21,11.11
"Wu H, 2014, SCIENTOMETRICS, 101",21,11.11
"Wang J, 2012, SCIENTOMETRICS, 93",20,10.58
"none available",18,9.52
"Strotmann A, 2012, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63",17,8.99
"Ferreira AA, 2014, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 65",15,7.94
"Kim J, 2018, SCIENTOMETRICS, 116",15,7.94
"Milojevic S, 2013, JOURNAL OF INFORMETRICS, 7",15,7.94
"Santana AF, 2015, INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES, 16",15,7.94
"Liu W, 2014, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 65",14,7.41
"Tang L, 2010, SCIENTOMETRICS, 84",14,7.41
"D'Angelo CA, 2011, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62",12,6.35
"Haak LL, 2012, LEARNED PUBLISHING, 25",12,6.35
"Han D, 2015, WORLD WIDE WEB, 18",12,6.35
"Han H, 2004, PROCEEDINGS OF THE 4TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",12,6.35
"Han H, 2005, PROCEEDINGS OF THE 2005 ACM SYMPOSIUM ON APPLIED COMPUTING",12,6.35
"Kim J, 2018, SCIENTOMETRICS, 117",12,6.35
"Schulz C, 2014, EPJ DATA SCIENCE, 3",12,6.35
"Song M, 2015, JOURNAL OF INFORMETRICS, 9",12,6.35
"Ferreira AA, 2012, SIGMOD REC, 41",11,5.82
"Gurney T, 2012, SCIENTOMETRICS, 91",11,5.82
"Muller MC, 2017, SCIENTOMETRICS, 111",11,5.82
"Qian Y, 2015, INFORMATION RETRIEVAL JOURNAL, 18",11,5.82
