item,count,f
"SCIENTOMETRICS",104,55.03
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY",70,37.04
"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY",37,19.58
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING",36,19.05
"JOURNAL OF INFORMETRICS",36,19.05
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA",34,17.99
"PLOS ONE",31,16.40
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY",29,15.34
"ACM SIGMOD RECORD",25,13.23
"INFORMATION PROCESSING AND MANAGEMENT",24,12.70
"INFORMATION PROCESSING & MANAGEMENT",23,12.17
"SIGMOD RECORD",23,12.17
"NATURE",22,11.64
"JOURNAL OF INFORMATION AND DATA MANAGEMENT",20,10.58
"MACHINE LEARNING",18,9.52
"none available",18,9.52
"INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES",17,8.99
"LEARNED PUBLISHING",17,8.99
"SCIENCE",15,7.94
"PROCEEDINGS OF THE 4TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",14,7.41
"SIGMOD REC",14,7.41
"COMMUNICATIONS OF THE ACM",13,6.88
"INFORMATION RETRIEVAL",13,6.88
"JOURNAL OF DATA AND INFORMATION QUALITY",13,6.88
"JOURNAL OF INFORMATION SCIENCE",13,6.88
"PROCEEDINGS OF THE 2005 ACM SYMPOSIUM ON APPLIED COMPUTING",13,6.88
"PROCEEDINGS OF THE 5TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",13,6.88
"PROCEEDINGS OF THE 9TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",13,6.88
"WORLD WIDE WEB",13,6.88
"EPJ DATA SCIENCE",12,6.35
"JOURNAL OF MACHINE LEARNING RESEARCH",12,6.35
"PROCEEDINGS OF THE 10TH ANNUAL JOINT CONFERENCE ON DIGITAL LIBRARIES",12,6.35
"PROCEEDINGS OF THE 2004 JOINT ACM/IEEE CONFERENCE ON DIGITAL LIBRARIES",12,6.35
"PROCEEDINGS OF THE ACM/IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES",12,6.35
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",12,6.35
"THE KNOWLEDGE ENGINEERING REVIEW",12,6.35
"ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS",11,5.82
"IEEE TRANS. KNOWL. DATA ENG.",11,5.82
"INFORMATION RETRIEVAL JOURNAL",11,5.82
"PHYSICAL REVIEW E",11,5.82
"PROGRAM",11,5.82
"ACM TRANS. KNOWL. DISCOV. DATA",10,5.29
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA (TKDD)",10,5.29
"EXPERT SYSTEMS WITH APPLICATIONS",10,5.29
"ACM JOURNAL OF DATA AND INFORMATION QUALITY",9,4.76
"D-LIB MAGAZINE",9,4.76
"INFORMATION SCIENCES",9,4.76
"JOURNAL OF DATA AND INFORMATION QUALITY (JDIQ)",9,4.76
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE",9,4.76
"PROCEEDINGS OF THE VLDB ENDOWMENT",9,4.76
"RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES",9,4.76
"RESEARCH POLICY",9,4.76
"2011 IEEE 11TH INTERNATIONAL CONFERENCE ON DATA MINING",8,4.23
"BIOINFORMATICS",8,4.23
"IEEE ACCESS",8,4.23
"J ASSOC INF SCI TECHNOL",8,4.23
"J. AM. SOC. INF. SCI. TECHNOL",8,4.23
"JCDL",8,4.23
"PROCEEDINGS OF THE 14TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING",8,4.23
"PROCEEDINGS OF THE 2017 ACM ON CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",8,4.23
