item,count,f
"Computer Science",122,64.55
"Social Sciences",50,26.46
"Engineering",39,20.63
"Mathematics",35,18.52
"none available",25,13.23
"Decision Sciences",18,9.52
"Medicine",14,7.41
"Materials Science",8,4.23
"Physics and Astronomy",8,4.23
"Education*",7,3.70
"Arts and Humanities",5,2.65
"Business, Management and Accounting",5,2.65
"Multidisciplinary",4,2.12
"Agricultural and Biological Sciences",3,1.59
"Biochemistry, Genetics and Molecular Biology",3,1.59
"Chemical Engineering",3,1.59
"Chemistry",3,1.59
"Earth and Planetary Sciences",3,1.59
"Energy",3,1.59
"Environmental Science",2,1.06
"Health Professions",2,1.06
"Pharmacology, Toxicology and Pharmaceutics",2,1.06
"Neuroscience",1,0.53
