item,count,f
"AUTHOR",140,74.07
"DISAMBIGUATION",138,73.02
"NAME",126,66.67
"USING",33,17.46
"DATA",23,12.17
"APPROACH",17,8.99
"DIGITAL",13,6.88
"GRAPH",13,6.88
"NETWORKS",13,6.88
"BASED",12,6.35
"NETWORK",12,6.35
"ANALYSIS",11,5.82
"BIBLIOGRAPHIC",10,5.29
"CLUSTERING",10,5.29
"INFORMATION",10,5.29
"LEARNING",9,4.76
"LIBRARIES",9,4.76
"SIMILARITY",9,4.76
"WEB",9,4.76
"ACADEMIC",8,4.23
"CITATION",8,4.23
"CONFERENCE",8,4.23
"PUBMED",8,4.23
"MODEL",7,3.70
"RESEARCH",7,3.70
"SEMANTIC",7,3.70
"AUTHORS",6,3.17
"DEEP",6,3.17
"FEATURES",6,3.17
"HETEROGENEOUS",6,3.17
"IMPACT",6,3.17
"INTERNATIONAL",6,3.17
"MACHINE",6,3.17
"METHOD",6,3.17
"MULTIPLE",6,3.17
"NAMES",6,3.17
"NEURAL",6,3.17
"ALGORITHM",5,2.65
"BIBLIOMETRIC",5,2.65
"DATABASE",5,2.65
"EVALUATING",5,2.65
"EXPLOITING",5,2.65
"LARGE-SCALE",5,2.65
"MEDLINE",5,2.65
"SYSTEM",5,2.65
"APPLICATIONS",4,2.12
"AUTOMATIC",4,2.12
"CITATIONS",4,2.12
"CLASSIFICATION",4,2.12
"CO-AUTHORSHIP",4,2.12
"COMPARISON",4,2.12
"DATABASES",4,2.12
"DISAMBIGUATING",4,2.12
"ENTITY",4,2.12
"EVALUATION",4,2.12
"FRAMEWORK",4,2.12
"HEURISTICS",4,2.12
"HYBRID",4,2.12
"METHODS",4,2.12
"MINING",4,2.12
"PUBLICATIONS",4,2.12
"RANDOM",4,2.12
"SCIENTIFIC",4,2.12
"UNSUPERVISED",4,2.12
"WORKSHOP",4,2.12
"ADVANCED",3,1.59
"AUTHORSHIP",3,1.59
"BIG",3,1.59
"COLLABORATION",3,1.59
"COMBINING",3,1.59
"COMPUTING",3,1.59
"DBLP",3,1.59
"DOMAIN-SPECIFIC",3,1.59
"EFFECTIVE",3,1.59
"EMAIL",3,1.59
"EMBEDDING",3,1.59
"FORESTS",3,1.59
"FUSION",3,1.59
"HIGHLY",3,1.59
"IDENTIFICATION",3,1.59
"IMPROVING",3,1.59
"INCREMENTAL",3,1.59
"JOINT",3,1.59
"KNOWLEDGE",3,1.59
"LIBRARY",3,1.59
"LINKING",3,1.59
"MANAGEMENT",3,1.59
"MODELS",3,1.59
"NEW",3,1.59
"OPEN",3,1.59
"PROBLEM",3,1.59
"QUALITY",3,1.59
"RECORDS",3,1.59
"REPOSITORIES",3,1.59
"RESEARCHER",3,1.59
"SCALE",3,1.59
"SCHOLARLY",3,1.59
"SERVICE",3,1.59
"SOCIAL",3,1.59
"SOURCES",3,1.59
"STRUCTURAL",3,1.59
"SUPERVISED",3,1.59
"SURVEY",3,1.59
"SYSTEMS",3,1.59
"TECHNIQUES",3,1.59
"THEORY",3,1.59
"TOPIC",3,1.59
"1ST",2,1.06
"2009",2,1.06
"2010",2,1.06
"2017",2,1.06
"2019",2,1.06
"2020",2,1.06
"24TH",2,1.06
"4TH",2,1.06
"ACMIEEE",2,1.06
"ANALYSES",2,1.06
"ANALYTICS",2,1.06
"ASSESS",2,1.06
"ASSOCIATIVE",2,1.06
"BIBLIOMETRICS",2,1.06
"BIOMEDICAL",2,1.06
"CARLO",2,1.06
"CASE",2,1.06
"CHALLENGES",2,1.06
"CHINA",2,1.06
"CHINESE",2,1.06
"COMBINATION",2,1.06
"DASFAA",2,1.06
"DIFFERENT",2,1.06
"EFFECT",2,1.06
"EMPIRICAL",2,1.06
"ENTITIES",2,1.06
"EXTRACTION",2,1.06
"FEEDBACK",2,1.06
"FIELD",2,1.06
"GENERATING",2,1.06
"HEURISTIC",2,1.06
"IDENTIFIERS",2,1.06
"IMBALANCED",2,1.06
"LABELED",2,1.06
"LARGE",2,1.06
"LIMITATIONS",2,1.06
"LINKAGE",2,1.06
"MATCHING",2,1.06
"MEASURES",2,1.06
"METRIC",2,1.06
"METRICS",2,1.06
"MICROSOFT",2,1.06
"MONTE",2,1.06
"NODE",2,1.06
"NOVEL",2,1.06
"OPPORTUNITIES",2,1.06
"PERSPECTIVE",2,1.06
"PRACTICAL",2,1.06
"PROBABILISTIC",2,1.06
"PROCEEDINGS",2,1.06
"PROCESSING",2,1.06
"PRODUCTIVITY",2,1.06
"RANKING",2,1.06
"RECORD",2,1.06
"REFERENCES",2,1.06
"RESOLUTION",2,1.06
"REVIEW",2,1.06
"SCIENCE",2,1.06
"SEARCH",2,1.06
"SELF-TRAINING",2,1.06
"SETS",2,1.06
"SEVERAL",2,1.06
"SIMULATIONS",2,1.06
"STUDY",2,1.06
"SUBJECT",2,1.06
"TECHNIQUE",2,1.06
"TECHNOLOGIES",2,1.06
"THREE",2,1.06
"USE",2,1.06
"VECTOR",2,1.06
"VIA",2,1.06
"VISUAL",2,1.06
"VISUALIZATION",2,1.06
"WORD",2,1.06
"WORKSHOPS",2,1.06
"10",1,0.53
"101007S11192-018-2824-5",1,0.53
"116",1,0.53
"11TH",1,0.53
"16TH",1,0.53
"1867-1886",1,0.53
"1996-2004",1,0.53
"2004",1,0.53
"2010-2016",1,0.53
"2010PROCEEDINGS",1,0.53
"2011TOWARDS",1,0.53
"2013",1,0.53
"2016",1,0.53
"2018",1,0.53
"21ST",1,0.53
"2ND",1,0.53
"3",1,0.53
"ACCURACY",1,0.53
"ACTIVE",1,0.53
"ACTIVITY",1,0.53
"ADAPTIVE",1,0.53
"ADS",1,0.53
"ADVANTAGES",1,0.53
"ADVERSARIAL",1,0.53
"AFFILIATION",1,0.53
"AGGREGATING",1,0.53
"AID",1,0.53
"ALBERTO",1,0.53
"ALGORITHMS",1,0.53
"ALIAS",1,0.53
"AMBIGUITY",1,0.53
"AMINER",1,0.53
"AMW",1,0.53
"ANDDY",1,0.53
"ANDMC",1,0.53
"APPLICATION",1,0.53
"APPROACHES",1,0.53
"APPROACHES1",1,0.53
"ARTICLE",1,0.53
"ASSESSMENTS",1,0.53
"AT4DL",1,0.53
"ATTENTION",1,0.53
"AUTHCROWD",1,0.53
"AUTHOR-BASED",1,0.53
"AUTOMATICALLY",1,0.53
"AUTOSENSE",1,0.53
"BASELINES",1,0.53
"BASES",1,0.53
"BDCAT",1,0.53
"BDMS",1,0.53
"BDQM",1,0.53
"BENCHMARK",1,0.53
"BENEFITS",1,0.53
"BIBLIODAP21",1,0.53
