item,count,f
"Kim J",13,8.61
"Goncalves MA",9,5.96
"Ferreira AA",8,5.30
"Asghar S",7,4.64
"Laender AHF",7,4.64
"Hussain I",6,3.97
"Chandra J",5,3.31
"Mondal S",5,3.31
"Smalheiser NR",5,3.31
"Giles CL",4,2.65
"Muller MC",4,2.65
"Owen-Smith J",4,2.65
"Pooja KM",4,2.65
"Song M",4,2.65
"Torvik VI",4,2.65
"Zhu J",4,2.65
"Backes T",3,1.99
"Daud A",3,1.99
"Jung H",3,1.99
"Kim K",3,1.99
"Mayr P",3,1.99
"Reitz F",3,1.99
"Strotmann A",3,1.99
"Veloso A",3,1.99
"Zhang L",3,1.99
"Zhao DZ",3,1.99
"Amjad T",2,1.32
"Bornmann L",2,1.32
"Boukhers Z",2,1.32
"Choi J",2,1.32
"D'angelo CA",2,1.32
"Ding Y",2,1.32
"Do T",2,1.32
"Farber M",2,1.32
"Ho JM",2,1.32
"Huang Y",2,1.32
"Huynh T",2,1.32
"Khabsa M",2,1.32
"Kim S",2,1.32
"Kim T",2,1.32
"Lu W",2,1.32
"Lu ZY",2,1.32
"Momeni F",2,1.32
"Peng HT",2,1.32
"Peroni S",2,1.32
"Rehs A",2,1.32
"Santana AF",2,1.32
"Schulz J",2,1.32
"Shin D",2,1.32
"Shoaib M",2,1.32
"Tang Y",2,1.32
"Tekles A",2,1.32
"Waqas H",2,1.32
"Wu YL",2,1.32
"Xu J",2,1.32
"Xu S",2,1.32
"Yang F",2,1.32
"Zhang SY",2,1.32
"Zhang Y",2,1.32
"Abbas H",1,0.66
"Abdulhayoglu MA",1,0.66
"Abramo G",1,0.66
"Ackermann MR",1,0.66
"Alam M",1,0.66
"Albert PJ",1,0.66
"Aleyasen A",1,0.66
"Ali R",1,0.66
"Almeida JM",1,0.66
"Amplayo RK",1,0.66
"An X",1,0.66
"Ao L",1,0.66
"Arif T",1,0.66
"Asger M",1,0.66
"Asundi NB",1,0.66
"Azim ME",1,0.66
"Bai LG",1,0.66
"Bakken S",1,0.66
"Bales ME",1,0.66
"Bannister A",1,0.66
"Bao P",1,0.66
"Bessis N",1,0.66
"Bhowmick PK",1,0.66
"Bolikowski L",1,0.66
"Bornholdt S",1,0.66
"Bu Y",1,0.66
"Cami J",1,0.66
"Carvalho AMBR",1,0.66
"Cervello R",1,0.66
"Chen CY",1,0.66
"Chen W",1,0.66
"Chen ZQ",1,0.66
"Cheng QK",1,0.66
"Colavizza G",1,0.66
"Comeau DC",1,0.66
"Correia A",1,0.66
"Costa MR",1,0.66
"Costas R",1,0.66
"Cui WW",1,0.66
"Cui YJ",1,0.66
"Cukierski W",1,0.66
"Cullcay J",1,0.66
"D'souza JL",1,0.66
"Da Silva JAT",1,0.66
"Dadas S",1,0.66
"Dalessandro B",1,0.66
"Das PP",1,0.66
"De Cock M",1,0.66
"De Souza EA",1,0.66
"De Stefano D",1,0.66
"Deb SB",1,0.66
"Dendek PJ",1,0.66
"Deng SC",1,0.66
"Diesner J",1,0.66
"Dietze S",1,0.66
"Digiampietri LA",1,0.66
"Dine D",1,0.66
"Ding XH",1,0.66
"Dogan RI",1,0.66
"Downey D",1,0.66
"Du R",1,0.66
"E XH",1,0.66
"Ebeid IA",1,0.66
"Endovitskiy DA",1,0.66
"Espinoza M",1,0.66
"Falkman G",1,0.66
"Fan WG",1,0.66
"Faris R",1,0.66
"Feldman S",1,0.66
"Ferreira A",1,0.66
"Ferreira JE",1,0.66
"Figueiredo D",1,0.66
"Fonseca B",1,0.66
"Fotache M",1,0.66
"Fox EA",1,0.66
"Fu CZ",1,0.66
"Fu Y",1,0.66
"Fuccella V",1,0.66
"Fung GPC",1,0.66
"Gangemi A",1,0.66
"Gasparyan AY",1,0.66
"Gesese GA",1,0.66
"Gim J",1,0.66
"Giuffrida C",1,0.66
"Godoi TA",1,0.66
"Gomide J",1,0.66
"Gruber H",1,0.66
"Gu S",1,0.66
"Guimaraes D",1,0.66
"Hammarfelt B",1,0.66
"Hamner B",1,0.66
"Han HQ",1,0.66
"Hao LY",1,0.66
"Hazra R",1,0.66
"He CB",1,0.66
"He J",1,0.66
"He XF",1,0.66
