item,count,f
"AUTHOR NAME DISAMBIGUATION",59,39.07
"none available",33,21.85
"NAME DISAMBIGUATION",22,14.57
"MACHINE LEARNING",12,7.95
"DIGITAL LIBRARY",11,7.28
"CLUSTERING",9,5.96
"BIBLIOMETRICS",8,5.30
"DIGITAL LIBRARIES",8,5.30
"AUTHOR DISAMBIGUATION",7,4.64
"BIBLIOGRAPHIC DATA",5,3.31
"CITATION ANALYSIS",5,3.31
"CLASSIFICATION",5,3.31
"COMMUNITY DETECTION",5,3.31
"ENTITY RESOLUTION",5,3.31
"PUBMED",5,3.31
"GOLD STANDARD",4,2.65
"INFORMATION RETRIEVAL",4,2.65
"REPRESENTATION LEARNING",4,2.65
"BIBLIOGRAPHIC DATABASES",3,1.99
"CO-AUTHORSHIP NETWORK",3,1.99
"COLLABORATION",3,1.99
"HIERARCHICAL CLUSTERING",3,1.99
"MEDLINE",3,1.99
"NAME AMBIGUITY",3,1.99
"ORCID",3,1.99
"RECORD LINKAGE",3,1.99
"SCIENTIFIC COLLABORATION",3,1.99
"SEMANTIC SIMILARITY",3,1.99
"SUPERVISED MACHINE LEARNING",3,1.99
"VECTOR SPACE MODEL",3,1.99
"WORD EMBEDDINGS",3,1.99
"AND",2,1.32
"AUTHOR NAME HOMONYMS",2,1.32
"AUTHORITY CONTROL",2,1.32
"BIBLIOGRAPHIC CITATION",2,1.32
"BIBLIOGRAPHY AS TOPIC",2,1.32
"BLOCKING",2,1.32
"CO-AUTHORS GRAPH",2,1.32
"DATA HANDLING",2,1.32
"DATA SETS",2,1.32
"DBLP",2,1.32
"DEEP LEARNING",2,1.32
"DISAMBIGUATION",2,1.32
"EVALUATION",2,1.32
"GRAPH STRUCTURAL CLUSTERING",2,1.32
"HETEROGENEOUS INFORMATION NETWORK",2,1.32
"HOMONYM DETECTION",2,1.32
"HOMONYM RESOLVER",2,1.32
"LABELED DATA",2,1.32
"LIBRARIES",2,1.32
"LINKED OPEN DATA",2,1.32
"LOUVAIN METHOD",2,1.32
"MULTIPLE FEATURES",2,1.32
"NETWORK EMBEDDING",2,1.32
"NEURAL NETWORKS",2,1.32
"PAIRWISE CLASSIFICATION",2,1.32
"RANDOM FOREST",2,1.32
"SYNONYMS RESOLVER",2,1.32
"TEXT MINING",2,1.32
"TRAINING",2,1.32
"ACADEMIC INTEGRITY",1,0.66
"ACADEMIC RANKINGS",1,0.66
"ACADEMIC SOCIAL NETWORK",1,0.66
"AFFILIATION",1,0.66
"AGGLOMERATIVE CLUSTERING",1,0.66
"ANALYTICAL REASONING",1,0.66
"AND DATASETS",1,0.66
"ANONYMOUS NETWORK",1,0.66
"AP CLUSTERING",1,0.66
"API",1,0.66
"ARTIFICIAL NEURAL NETWORKS",1,0.66
"ASSOCIATION RULE LEARNING",1,0.66
"ASSOCIATIVE METHODS",1,0.66
"ASSOCIATIVE PROCESSING",1,0.66
"AUTHOR",1,0.66
"AUTHOR CLUSTERING",1,0.66
"AUTHOR DISAMBIGUITY",1,0.66
"AUTHOR ID",1,0.66
"AUTHOR IDENTIFICATION",1,0.66
"AUTHOR IDENTIFIER",1,0.66
"AUTHOR IDENTIFIERS",1,0.66
"AUTHOR NAME DISAMBIGUATION (AND)",1,0.66
"AUTHOR NAME HOMOGRAPHY",1,0.66
"AUTHOR NAME VARIABILITY",1,0.66
"AUTHOR PROFILE MODELS",1,0.66
"AUTHOR-ITY2009",1,0.66
"AUTHOR-NAME DISAMBIGUATION",1,0.66
"AUTHORSHIP",1,0.66
"AUTHORSHIP CORRELATION",1,0.66
"AUTHORSHIP DISAMBIGUATION",1,0.66
"AUTOMATED",1,0.66
"BASELINE METHODS",1,0.66
"BERT LANGUAGE MODEL",1,0.66
"BIBLIOGRAPHIC DATA SOURCE",1,0.66
"BIBLIOGRAPHIC DATABASE",1,0.66
"BIBLIOGRAPHICAL DATA",1,0.66
"BIBLIOGRAPHIES",1,0.66
"BIBLIOMETRIC ANALYSIS",1,0.66
"BIG DATA",1,0.66
"BIG DATA RESEARCH",1,0.66
