item,count,f
"Dept Comp Sci",16,10.60
"Univ Michigan",12,7.95
"Inst Res Innovat & Sci",11,7.28
"Univ Illinois",11,7.28
"330 Packard St",10,6.62
"Dept Comp Sci & Engn",9,5.96
"Survey Res Ctr",9,5.96
"Univ Fed Minas Gerais",9,5.96
"Inst Social Res",8,5.30
"COMSATS Inst Informat Technol",7,4.64
"GESIS Leibniz Inst Social Sci",7,4.64
"Univ Fed Ouro Preto",7,4.64
"Belo Horizonte",6,3.97
"Dept Sociol",6,3.97
"Dept Ciencia Comp",5,3.31
"Dept Comp",5,3.31
"Sch Informat Management",5,3.31
"Sch Informat Sci",5,3.31
"Beijing Univ Technol",4,2.65
"Chinese Acad Sci",4,2.65
"Dept Comp Sci & Software Engn",4,2.65
"Indian Inst Technol Patna",4,2.65
"Melbourne",4,2.65
"Patna 801103",4,2.65
"Penn State Univ",4,2.65
"Sch Comp Sci",4,2.65
"Sch Lib & Informat Studies",4,2.65
"Wuhan Univ",4,2.65
"Yonsei Univ",4,2.65
"Comp Sci & Engn",3,1.99
"Dept Lib & Informat Sci",3,1.99
"Edmonton",3,1.99
"Fac Informat Technol",3,1.99
"Indiana Univ",3,1.99
"Informat Sci & Technol",3,1.99
"Leiden Univ",3,1.99
"Microsoft Res",3,1.99
"Univ Alberta",3,1.99
"Univ Chinese Acad Sci",3,1.99
"Acad Sinica",2,1.32
"Adm Headquarters Max Planck Soc",2,1.32
"BR-31270901 Belo Horizonte",2,1.32
"Beijing Adv Innovat Ctr Future Internet Technol",2,1.32
"Beijing Univ Posts & Telecommun",2,1.32
"COMSATS Univ Islamabad",2,1.32
"Capital Univ Sci & Technol",2,1.32
"Ctr Sci & Technol Studies",2,1.32
"Dept Comp Sci & Informat Engn",2,1.32
"Dept Comp Sci & Technol",2,1.32
"Dept Informat Technol",2,1.32
"Dept Psychiat",2,1.32
"Div Sci & Innovat Studies",2,1.32
"FIZ Karlsruhe",2,1.32
"Fac Comp Sci",2,1.32
"GESIS",2,1.32
"Guangzhou",2,1.32
"Hanyang Univ",2,1.32
"Heidelberg Inst Theoret Studies",2,1.32
"Heidelberg Inst Theoret Studies gGmbH",2,1.32
"Hofgartenstr 8",2,1.32
"Inst Informat Sci",2,1.32
"Int Islamic Univ",2,1.32
"Islamabad Expressway",2,1.32
"KISTI",2,1.32
"Kahuta Rd",2,1.32
"Karlsruhe Inst Technol KIT",2,1.32
"Katholieke Univ Leuven",2,1.32
"Konradstr 6",2,1.32
"Leibniz Inst Social Sci",2,1.32
"Ludwig Maximilians Univ Munchen",2,1.32
"Manchester",2,1.32
"Math Dept",2,1.32
"Nanjing 210023",2,1.32
"Nanjing Univ Posts & Telecommun",2,1.32
"Ouro Preto",2,1.32
"Peng Cheng Lab",2,1.32
"Sch Comp Sci & Software Engn",2,1.32
"Sch Comp Sci & Technol",2,1.32
"Sch Informat",2,1.32
"Sch Informat & Comp",2,1.32
"Sch Informat Sci & Technol",2,1.32
"Sch Informat Studies",2,1.32
"Schloss Dagstuhl LZI",2,1.32
"South China Normal Univ",2,1.32
"Sun Yat Sen Univ",2,1.32
"Syracuse Univ",2,1.32
"TU Bergakad Freiberg",2,1.32
"Univ Bologna",2,1.32
"Univ Koblenz Landau",2,1.32
"Univ Manchester",2,1.32
"Univ Roma Tor Vergata",2,1.32
"10 Xitucheng Rd",1,0.66
"100 PingLeYuan",1,0.66
"100 Pingleyuan",1,0.66
"132",1,0.66
"138 Xianlin Ave",1,0.66
"2 Xingke First St",1,0.66
"217 Gajeong Ro",1,0.66
"232 Gongneung Ro",1,0.66
"245 Daehak Ro",1,0.66
"299 Bayi St",1,0.66
"343 Hinds Hall",1,0.66
"35 Qinghua East Rd",1,0.66
"401 W Brooks St",1,0.66
"501 E Daniel St",1,0.66
"59 Zhongguancun St",1,0.66
"8600 Rockville Pike",1,0.66
"Alan Turing Inst",1,0.66
"Alexandru Ioan Cuza Univ",1,0.66
"Alibaba Grp",1,0.66
"Allen Inst AI",1,0.66
"Amazon Dev Ctr",1,0.66
"Ansan",1,0.66
"Ansan 426791",1,0.66
"Apartado 1013",1,0.66
"Arndtstr 2",1,0.66
"Arthrit Res UK Epidemiol Unit",1,0.66
"BGSB Univ",1,0.66
"BR-21941972 Rio De Janeiro",1,0.66
"BR-31270010 Belo Horizonte",1,0.66
"BR-35400000 Ouro Preto",1,0.66
"Beijing Forestry Univ",1,0.66
"Beijing Jiaotong Univ",1,0.66
"Brisbane",1,0.66
"Caixa Postal 68511",1,0.66
"Campinas",1,0.66
"Chair Sociol Particular Modeling & Simulat",1,0.66
"Charlottenstr 4",1,0.66
"Clarivate Analyt",1,0.66
"Colchester",1,0.66
"Colchester Campus",1,0.66
"Coll Comp",1,0.66
"Coll Comp & Control Engn",1,0.66
"Coll Comp & IT",1,0.66
"Coll Econ & Management",1,0.66
"Coll Engn & Sci",1,0.66
"Coll Informat Sci & Engn",1,0.66
"Columbia Univ",1,0.66
