item,count,f
"Ferreira AA, 2012, SIGMOD REC, 41",70,46.36
"Han H, 2004, ACM-IEEE J CONF DIG",61,40.40
"Torvik VI, 2009, ACM T KNOWL DISCOV D, 3",52,34.44
"Han H, 2005, ACM-IEEE J CONF DIG",46,30.46
"Tang J, 2012, IEEE T KNOWL DATA EN, 24",44,29.14
"Cota RG, 2010, J AM SOC INF SCI TEC, 61",43,28.48
"Smalheiser NR, 2009, ANNU REV INFORM SCI, 43",41,27.15
"Levin M, 2012, J AM SOC INF SCI TEC, 63",40,26.49
"Huang J, 2006, LECT NOTES ARTIF INT, 4213",35,23.18
"Treeratpituk P, 2009, ACM-IEEE J CONF DIG",35,23.18
"Kang IS, 2009, INFORM PROCESS MANAG, 45",32,21.19
"Torvik VI, 2005, J AM SOC INF SCI TEC, 56",31,20.53
"Fan X, 2011, J DATA INF QUALITY, 2",30,19.87
"Han H, 2005, P 2005 ACM S APPL CO",30,19.87
"Louppe G, 2016, COMM COM INF SC, 649",29,19.21
"Liu WL, 2014, J ASSOC INF SCI TECH, 65",28,18.54
"Shin D, 2014, SCIENTOMETRICS, 100",28,18.54
"Muller MC, 2017, SCIENTOMETRICS, 111",25,16.56
"Pereira DA, 2009, ACM-IEEE J CONF DIG",25,16.56
"Song Y, 2007, ACM-IEEE J CONF DIG",24,15.89
"Strotmann A, 2012, J AM SOC INF SCI TEC, 63",24,15.89
"Ferreira AA, 2014, J ASSOC INF SCI TECH, 65",23,15.23
"Zhang YT, 2018, KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING",23,15.23
"Kang IS, 2011, INFORM PROCESS MANAG, 47",22,14.57
"Wu H, 2014, SCIENTOMETRICS, 101",22,14.57
"Xuezhi Wang, 2011, Proceedings of the 2011 IEEE 11th International Conference on Data Mining (ICDM 2011)",22,14.57
"Milojevic S, 2013, J INFORMETR, 7",21,13.91
"Bhattacharya I, 2007, ACM T KNOWL DISCOV D, 1",20,13.25
"De Carvalho AP, 2011, J INFORM DATA MANAGE, 2",20,13.25
"Qian YA, 2015, INFORM RETRIEVAL J, 18",20,13.25
"Santana AF, 2015, INT J DIGIT LIBRARIE, 16",20,13.25
"Tran HN, 2014, LECT NOTES COMPUT SC, 8397",20,13.25
"Wang J, 2012, SCIENTOMETRICS, 93",20,13.25
"Kim J, 2018, SCIENTOMETRICS, 116",19,12.58
"Zhang BC, 2017, CIKM'17: PROCEEDINGS OF THE 2017 ACM CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",19,12.58
"Ferreira AA, 2010, P 10 ANN JOINT C DIG",18,11.92
"On BW, 2005, ACM-IEEE J CONF DIG",18,11.92
"Muller MC, 2017, LECT NOTES COMPUT SC, 10450",17,11.26
"Schulz C, 2014, EPJ DATA SCI, 3",17,11.26
"Hussain I, 2017, KNOWL ENG REV, 32",16,10.60
"Kanani P, 2007, 20TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE",16,10.60
"Santana AF, 2017, J ASSOC INF SCI TECH, 68",16,10.60
"Song M, 2015, J INFORMETR, 9",16,10.60
"Veloso A, 2012, INFORM PROCESS MANAG, 48",16,10.60
"D'angelo CA, 2011, J AM SOC INF SCI TEC, 62",15,9.93
"Kim J, 2016, J ASSOC INF SCI TECH, 67",14,9.27
"Tang J, 2008, PROC 14 ACM SIGKDD I",14,9.27
"Tang L, 2010, SCIENTOMETRICS, 84",14,9.27
"Caron E, 2014, P SCI TECHN IND C 20",12,7.95
"Haak LL, 2012, LEARN PUBL, 25",12,7.95
"Levin FH, 2010, J INFORM DATA MANAG, 1",12,7.95
"Liu Y, 2015, J ASSOC INF SCI TECH, 66",12,7.95
"Onodera N, 2011, J AM SOC INF SCI TEC, 62",12,7.95
"Soler JM, 2007, SCIENTOMETRICS, 72",12,7.95
"Bekkerman Ron, 2005, P WWW",11,7.28
"Cen L, 2013, SIGIR'13: THE PROCEEDINGS OF THE 36TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH & DEVELOPMENT IN INFORMATION RETRIEVAL",11,7.28
"Fegley BD, 2013, PLOS ONE, 8",11,7.28
"Gurney T, 2012, SCIENTOMETRICS, 91",11,7.28
"Kim K, 2018, 2018 IEEE INTERNATIONAL CONFERENCE ON WEB SERVICES (IEEE ICWS 2018)",11,7.28
