item,count,f
"SCIENTOMETRICS",102,67.55
"J AM SOC INF SCI TEC",98,64.90
"ACM-IEEE J CONF DIG",94,62.25
"SIGMOD REC",71,47.02
"INFORM PROCESS MANAG",66,43.71
"ACM T KNOWL DISCOV D",65,43.05
"J ASSOC INF SCI TECH",65,43.05
"LECT NOTES COMPUT SC",65,43.05
"IEEE T KNOWL DATA EN",53,35.10
"J INFORMETR",48,31.79
"LECT NOTES ARTIF INT",44,29.14
"ANNU REV INFORM SCI",42,27.81
"PLOS ONE",37,24.50
"P NATL ACAD SCI USA",32,21.19
"COMM COM INF SC",31,20.53
"NATURE",31,20.53
"J DATA INF QUALITY",30,19.87
"P 2005 ACM S APPL CO",30,19.87
"PROC VLDB ENDOW",25,16.56
"INT J DIGIT LIBRARIE",23,15.23
"J INFORM DATA MANAGE",23,15.23
"KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING",23,15.23
"Proceedings of the 2011 IEEE 11th International Conference on Data Mining (ICDM 2011)",22,14.57
"CIKM'17: PROCEEDINGS OF THE 2017 ACM CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",21,13.91
"INFORM RETRIEVAL J",20,13.25
"P 10 ANN JOINT C DIG",20,13.25
"J MACH LEARN RES",19,12.58
"KNOWL ENG REV",19,12.58
"SCIENCE",19,12.58
"EPJ DATA SCI",18,11.92
"J INF SCI",18,11.92
"CIKM'18: PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",17,11.26
"MACH LEARN",17,11.26
"RES POLICY",17,11.26
"20TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE",16,10.60
"PHYS REV E",16,10.60
"IEEE DATA MINING",15,9.93
"OPENING INFORMATION HORIZONS",15,9.93
"PROC INT CONF DATA",15,9.93
"COMMUN ACM",14,9.27
"EXPERT SYST APPL",14,9.27
"INFORM RETRIEVAL",14,9.27
"LEARN PUBL",14,9.27
"PROC 14 ACM SIGKDD I",14,9.27
"J AM SOC INFORM SCI",13,8.61
"PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON INFORMATION & KNOWLEDGE MANAGEMENT (CIKM '19)",13,8.61
"ARXIV",12,7.95
