item,count,f
"[no Author name AVAILABLE]",14,6.64
"Goncalves MA",13,6.16
"Kim J",13,6.16
"Ferreira AA",12,5.69
"Laender AHF",11,5.21
"Asghar S",7,3.32
"Hussain I",6,2.84
"Smalheiser NR",6,2.84
"Chandra J",5,2.37
"Giles CL",5,2.37
"Mondal S",5,2.37
"Torvik VI",5,2.37
"Veloso A",5,2.37
"Zhang L",5,2.37
"Jung H",4,1.90
"Kim K",4,1.90
"Muller M-C",4,1.90
"Owen-Smith J",4,1.90
"Song M",4,1.90
"Strotmann A",4,1.90
"Zhang Y",4,1.90
"Zhao D",4,1.90
"Zhu J",4,1.90
"Backes T",3,1.42
"Darmawahyuni A",3,1.42
"Daud A",3,1.42
"Firdaus",3,1.42
"Kim S",3,1.42
"Malik RF",3,1.42
"Mayr P",3,1.42
"Nurmaini S",3,1.42
"Pooja KM",3,1.42
"Rachmatullah MN",3,1.42
"Reitz F",3,1.42
"Santana AF",3,1.42
"Wang R",3,1.42
"Wu Y",3,1.42
"Xu J",3,1.42
"Amjad T",2,0.95
"Ban Z",2,0.95
"Bhowmick PK",2,0.95
"Bolikowski L",2,0.95
"Bornmann L",2,0.95
"Boukhers Z",2,0.95
"Choi J",2,0.95
"Cui Y",2,0.95
"D'angelo CA",2,0.95
"Das PP",2,0.95
"Dendek PJ",2,0.95
"Ding Y",2,0.95
"Do T",2,0.95
"E X",2,0.95
"Farber M",2,0.95
"Han H",2,0.95
"Ho J-M",2,0.95
"Huang Y",2,0.95
"Huynh T",2,0.95
"Juliano AH",2,0.95
"Khabsa M",2,0.95
"Kim T",2,0.95
"Li S",2,0.95
"Li Z",2,0.95
"Liu J",2,0.95
"Liu W",2,0.95
"Lu W",2,0.95
"Ma X",2,0.95
"Mandava V",2,0.95
"Momeni F",2,0.95
"Nugraha TA",2,0.95
"Peng H-T",2,0.95
"Peroni S",2,0.95
"Pooja K",2,0.95
"Putra VOK",2,0.95
"Rehs A",2,0.95
"Roy SB",2,0.95
"Savvana S",2,0.95
"Schulz J",2,0.95
"Shin D",2,0.95
"Shoaib M",2,0.95
"Swanson DR",2,0.95
"Tang Y",2,0.95
"Tekles A",2,0.95
"Treeratpituk P",2,0.95
"Wang W",2,0.95
"Wang X",2,0.95
"Waqas H",2,0.95
"Weeber M",2,0.95
"Wu C",2,0.95
"Xu S",2,0.95
"Xu X",2,0.95
"Yang F",2,0.95
"Yang K-H",2,0.95
"Zhang S",2,0.95
"Zhang W",2,0.95
"Zhang Z",2,0.95
"Abbas H",1,0.47
"Abdulhayoglu MA",1,0.47
"Abramo G",1,0.47
"Ackermann MR",1,0.47
"Adachi J",1,0.47
"Alam",1,0.47
"Alam M",1,0.47
"Albert PJ",1,0.47
"Aleyasen A",1,0.47
"Ali R",1,0.47
"Almeida JM",1,0.47
"Amplayo RK",1,0.47
"An X",1,0.47
"Ao L",1,0.47
"Aochen L",1,0.47
"Apanovich Z",1,0.47
"Arif T",1,0.47
"Asger M",1,0.47
"Asundi NB",1,0.47
"Azim ME",1,0.47
"Bai L",1,0.47
"Bakken S",1,0.47
"Bales ME",1,0.47
"Bannister A",1,0.47
"Bao P",1,0.47
"Bernardi R",1,0.47
"Bessis N",1,0.47
"Bonifield G",1,0.47
"Bornholdt S",1,0.47
"Bu Y",1,0.47
"Bubela T",1,0.47
"Cami J",1,0.47
"Carvalho AMBR",1,0.47
"Cervello R",1,0.47
"Chattopadhyay S",1,0.47
"Chen C",1,0.47
"Chen W",1,0.47
"Chen Z",1,0.47
"Cheng Q",1,0.47
"Choi S-P",1,0.47
"Chuanming Y",1,0.47
"Chunwang L",1,0.47
"Colavizza G",1,0.47
"Comeau DC",1,0.47
"Cong G",1,0.47
