item,count,f
"AUTHOR NAME DISAMBIGUATION",75,35.55
"none available",53,25.12
"NAME DISAMBIGUATION",33,15.64
"CLUSTERING",13,6.16
"MACHINE LEARNING",13,6.16
"DIGITAL LIBRARY",11,5.21
"BIBLIOMETRICS",10,4.74
"DIGITAL LIBRARIES",10,4.74
"AUTHOR DISAMBIGUATION",9,4.27
"BIBLIOGRAPHIC DATA",8,3.79
"CLASSIFICATION",6,2.84
"ENTITY RESOLUTION",6,2.84
"PUBMED",6,2.84
"CITATION ANALYSIS",5,2.37
"COMMUNITY DETECTION",5,2.37
"INFORMATION RETRIEVAL",5,2.37
"MEDLINE",5,2.37
"NAME AMBIGUITY",5,2.37
"REPRESENTATION LEARNING",5,2.37
"FINAL",4,1.90
"GOLD STANDARD",4,1.90
"ORCID",4,1.90
"RANDOM FOREST",4,1.90
"RECORD LINKAGE",4,1.90
"BIBLIOGRAPHIC DATABASES",3,1.42
"CO-AUTHORSHIP NETWORK",3,1.42
"HETEROGENEOUS INFORMATION NETWORK",3,1.42
"HIERARCHICAL CLUSTERING",3,1.42
"NETWORK EMBEDDING",3,1.42
"SCIENTIFIC COLLABORATION",3,1.42
"SEMANTIC SIMILARITY",3,1.42
"SUPERVISED LEARNING",3,1.42
"SUPERVISED MACHINE LEARNING",3,1.42
"TEXT MINING",3,1.42
"VECTOR SPACE MODEL",3,1.42
"WORD EMBEDDINGS",3,1.42
"AND",2,0.95
"AUTHOR IDENTIFICATION",2,0.95
"AUTHOR IDENTIFIERS",2,0.95
"AUTHOR NAME HOMONYMS",2,0.95
"AUTHORITY CONTROL",2,0.95
"AUTHORSHIP",2,0.95
"BIBLIOGRAPHIC CITATION",2,0.95
"BIBLIOGRAPHIC CITATIONS",2,0.95
"BIBLIOGRAPHIES",2,0.95
"BIBLIOGRAPHY AS TOPIC",2,0.95
"BLOCKING",2,0.95
"CO-AUTHORS GRAPH",2,0.95
"COLLABORATION",2,0.95
"DATA HANDLING",2,0.95
"DATA SETS",2,0.95
"DBLP",2,0.95
"DEEP LEARNING",2,0.95
"DEEP NEURAL NETWORKS",2,0.95
"DISAMBIGUATION",2,0.95
"EVALUATION",2,0.95
"FEATURE EXTRACTION",2,0.95
"GENETIC PROGRAMMING",2,0.95
"GRAPH MODEL",2,0.95
"GRAPH STRUCTURAL CLUSTERING",2,0.95
"HETEROGENEOUS INFORMATION NETWORKS",2,0.95
"HOMONYM",2,0.95
"HOMONYM DETECTION",2,0.95
"HOMONYM RESOLVER",2,0.95
"LABELED DATA",2,0.95
"LINKED OPEN DATA",2,0.95
"LOUVAIN METHOD",2,0.95
"METADATA",2,0.95
"MULTIPLE FEATURES",2,0.95
