item,count,f
"AUTHOR NAME DISAMBIGUATIONS",94,44.55
"none available",59,27.96
"DIGITAL LIBRARIES",52,24.64
"NAME DISAMBIGUATION",48,22.75
"BIBLIOGRAPHIES",19,9.00
"SEMANTICS",18,8.53
"CLUSTERING ALGORITHMS",17,8.06
"DATABASE SYSTEMS",17,8.06
"INFORMATION SERVICES",15,7.11
"LEARNING SYSTEMS",15,7.11
"AUTHOR NAME DISAMBIGUATION",14,6.64
"BIBLIOGRAPHIC DATABASE",13,6.16
"ARTICLE",12,5.69
"BIBLIOGRAPHIC RETRIEVAL SYSTEMS",12,5.69
"DISAMBIGUATION METHOD",11,5.21
"EMBEDDINGS",11,5.21
"ARTIFICIAL INTELLIGENCE",10,4.74
"INFORMATION RETRIEVAL",10,4.74
"BIBLIOGRAPHIC DATA",9,4.27
"CLASSIFICATION (OF INFORMATION)",9,4.27
"DATA MINING",9,4.27
"DECISION TREES",9,4.27
"MEDLINE",9,4.27
"RANDOM FORESTS",9,4.27
"BIG DATA",8,3.79
"CLUSTERING",8,3.79
"HUMAN",8,3.79
"VOCABULARY CONTROL",8,3.79
"WRITING",8,3.79
"AUTHORSHIP",7,3.32
"BIBLIOMETRICS",7,3.32
"CITATION ANALYSIS",7,3.32
"PUBLISHING",7,3.32
"SEARCH ENGINES",7,3.32
"STATE-OF-THE-ART METHODS",7,3.32
"SUPERVISED LEARNING",7,3.32
"AUTHOR DISAMBIGUATION",6,2.84
"MULTIPLE AUTHORS",6,2.84
"BIBLIOGRAPHIC RECORDS",5,2.37
"CLUSTER ANALYSIS",5,2.37
"COMMUNITY DETECTION",5,2.37
"GRAPH ALGORITHMS",5,2.37
"GRAPHIC METHODS",5,2.37
"HETEROGENEOUS INFORMATION",5,2.37
"INFORMATION ANALYSIS",5,2.37
"INFORMATION MANAGEMENT",5,2.37
"INFORMATION SYSTEMS",5,2.37
"MACHINE LEARNING",5,2.37
"METADATA",5,2.37
"PUBLICATION",5,2.37
"PUBMED",5,2.37
"REPRESENTATION LEARNING",5,2.37
"RESEARCH",5,2.37
"SOCIAL NETWORKING (ONLINE)",5,2.37
"SOCIAL NETWORKS",5,2.37
"WEB OF SCIENCE",5,2.37
"ACADEMIC PUBLICATIONS",4,1.90
"ACADEMIC SEARCH",4,1.90
"ALGORITHM",4,1.90
"COCITATION",4,1.90
"COMMUNITY DETECTION ALGORITHMS",4,1.90
"DATA HANDLING",4,1.90
"DATABASES, BIBLIOGRAPHIC",4,1.90
"DATABASES, FACTUAL",4,1.90
"DEEP LEARNING",4,1.90
"FACTUAL DATABASE",4,1.90
"FEATURE ENGINEERINGS",4,1.90
"HEURISTIC METHODS",4,1.90
"HIER-ARCHICAL CLUSTERING",4,1.90
"INFORMATION USE",4,1.90
"MEDICAL SUBJECT HEADINGS",4,1.90
"NATURAL LANGUAGE PROCESSING SYSTEMS",4,1.90
"NEURAL NETWORKS",4,1.90
"NOMENCLATURE",4,1.90
"POPULATION DYNAMICS",4,1.90
"PROBABILITY",4,1.90
"REAL-WORLD",4,1.90
"SEMANTIC SIMILARITY",4,1.90
"SIMILARITY FUNCTIONS",4,1.90
"SUPERVISED MACHINE LEARNING",4,1.90
"TRAINING EXAMPLE",4,1.90
"VECTOR SPACES",4,1.90
"WEB INFORMATION",4,1.90
"WORLD WIDE WEB",4,1.90
"ACADEMIC COMMUNITY",3,1.42
"AGGLOMERATIVE CLUSTERING",3,1.42
"ALGORITHMS",3,1.42
"BASELINE METHODS",3,1.42
"BIBLIOGRAPHIC INFORMATION",3,1.42
"BIBLIOMETRIC",3,1.42
"BIBLIOMETRIC ANALYSIS",3,1.42
"BINARY CLASSIFIERS",3,1.42
"CO-AUTHORSHIP NETWORKS",3,1.42
"COMPLEX NETWORKS",3,1.42
"DATA INTEGRATION",3,1.42
"DOMAIN SPECIFIC",3,1.42
"E-MAIL ADDRESS",3,1.42
"ENTITY DISAMBIGUATION",3,1.42
"FEATURE EXTRACTION",3,1.42
"GRAPH THEORY",3,1.42
"HETEROGENEOUS SOURCES",3,1.42
