item,count,f
"Shin D, 2014, SCIENTOMETRICS, 100",33,15.64
"Levin M, 2012, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63",29,13.74
"Cota RG, 2010, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61",25,11.85
"Tang J, 2012, IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING, 24",24,11.37
"Torvik VI, 2005, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 56",24,11.37
"Smalheiser NR, 2009, ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY, 43",23,10.90
"Torvik VI, 2009, ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA, 3",23,10.90
"Ferreira AA, 2012, ACM SIGMOD RECORD, 41",22,10.43
"Wu H, 2014, SCIENTOMETRICS, 101",22,10.43
"Ferreira AA, 2012, SIGMOD RECORD, 41",21,9.95
"Wang J, 2012, SCIENTOMETRICS, 93",21,9.95
"none available",21,9.95
"Kim J, 2018, SCIENTOMETRICS, 116",19,9.00
"Ferreira AA, 2012, SIGMOD REC, 41",18,8.53
"Strotmann A, 2012, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63",17,8.06
"Ferreira AA, 2014, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 65",15,7.11
"Milojevic S, 2013, JOURNAL OF INFORMETRICS, 7",15,7.11
"Santana AF, 2015, INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES, 16",15,7.11
"Liu W, 2014, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 65",14,6.64
"Tang L, 2010, SCIENTOMETRICS, 84",14,6.64
"Han H, 2005, PROCEEDINGS OF THE 2005 ACM SYMPOSIUM ON APPLIED COMPUTING",13,6.16
"Kim J, 2018, SCIENTOMETRICS, 117",13,6.16
"Muller MC, 2017, SCIENTOMETRICS, 111",13,6.16
"D'Angelo CA, 2011, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62",12,5.69
"Haak LL, 2012, LEARNED PUBLISHING, 25",12,5.69
"Han D, 2015, WORLD WIDE WEB, 18",12,5.69
"Han H, 2004, PROCEEDINGS OF THE 4TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",12,5.69
"Schulz C, 2014, EPJ DATA SCIENCE, 3",12,5.69
"Song M, 2015, JOURNAL OF INFORMETRICS, 9",12,5.69
"Ferreira AA, 2010, PROCEEDINGS OF THE 10TH ANNUAL JOINT CONFERENCE ON DIGITAL LIBRARIES",11,5.21
"Gurney T, 2012, SCIENTOMETRICS, 91",11,5.21
"Qian Y, 2015, INFORMATION RETRIEVAL JOURNAL, 18",11,5.21
"Treeratpituk P, 2009, PROCEEDINGS OF THE 9TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",11,5.21
"Fan X, 2011, JOURNAL OF DATA AND INFORMATION QUALITY, 2",10,4.74
"Kim J, 2016, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 67",10,4.74
"Kim J, 2019, SCIENTOMETRICS, 118",10,4.74
"Muller M-C, 2017, SCIENTOMETRICS, 111",10,4.74
"Wu J, 2013, SCIENTOMETRICS, 96",10,4.74
"Zhu J, 2014, SCIENTOMETRICS, 98",10,4.74
"Han H, 2004, PROCEEDINGS OF THE 2004 JOINT ACM/IEEE CONFERENCE ON DIGITAL LIBRARIES",9,4.27
"Kim J, 2019, SCIENTOMETRICS, 120",9,4.27
"Liu Y, 2015, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 66",9,4.27
"Santana AF, 2017, JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY, 68",9,4.27
"Soler JM, 2007, SCIENTOMETRICS, 72",9,4.27
"Zhang Y, 2018, PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING",9,4.27
"Zhu J, 2018, SCIENTOMETRICS, 114",9,4.27
"Amancio DR, 2015, SCIENTOMETRICS, 102",8,3.79
"Fan X, 2011, ACM JOURNAL OF DATA AND INFORMATION QUALITY, 2",8,3.79
"Fan X, 2011, JOURNAL OF DATA AND INFORMATION QUALITY (JDIQ), 2",8,3.79
"Garfield E, 1969, NATURE, 223",8,3.79
"Hussain I, 2018, JOURNAL OF INFORMATION SCIENCE, 44",8,3.79
"Kanani P, 2007, PROCEEDINGS OF THE 20TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE",8,3.79
"Levin FH, 2010, JOURNAL OF INFORMATION AND DATA MANAGEMENT, 1",8,3.79
"Onodera N, 2011, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62",8,3.79
"Porter MF, 1980, PROGRAM, 14",8,3.79
