item,count,f
"SCIENTOMETRICS",119,56.40
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY",71,33.65
"JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY",39,18.48
"PLOS ONE",38,18.01
"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING",37,17.54
"JOURNAL OF INFORMETRICS",36,17.06
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA",35,16.59
"NATURE",30,14.22
"ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY",29,13.74
"ACM SIGMOD RECORD",27,12.80
"INFORMATION PROCESSING & MANAGEMENT",24,11.37
"INFORMATION PROCESSING AND MANAGEMENT",24,11.37
"SIGMOD RECORD",24,11.37
"JOURNAL OF INFORMATION AND DATA MANAGEMENT",21,9.95
"SCIENCE",21,9.95
"SIGMOD REC",21,9.95
"none available",21,9.95
"INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES",19,9.00
"MACHINE LEARNING",18,8.53
"LEARNED PUBLISHING",17,8.06
"JOURNAL OF DATA AND INFORMATION QUALITY",14,6.64
"JOURNAL OF INFORMATION SCIENCE",14,6.64
"PROCEEDINGS OF THE 10TH ANNUAL JOINT CONFERENCE ON DIGITAL LIBRARIES",14,6.64
"PROCEEDINGS OF THE 2004 JOINT ACM/IEEE CONFERENCE ON DIGITAL LIBRARIES",14,6.64
"PROCEEDINGS OF THE 2005 ACM SYMPOSIUM ON APPLIED COMPUTING",14,6.64
"PROCEEDINGS OF THE 4TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",14,6.64
"COMMUNICATIONS OF THE ACM",13,6.16
"INFORMATION RETRIEVAL",13,6.16
"J ASSOC INF SCI TECH",13,6.16
"JOURNAL OF MACHINE LEARNING RESEARCH",13,6.16
"PROCEEDINGS OF THE 5TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",13,6.16
"PROCEEDINGS OF THE 9TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",13,6.16
"THE KNOWLEDGE ENGINEERING REVIEW",13,6.16
"WORLD WIDE WEB",13,6.16
"EPJ DATA SCIENCE",12,5.69
"IEEE ACCESS",12,5.69
"INFORMATION RETRIEVAL JOURNAL",12,5.69
"PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING",12,5.69
"PROCEEDINGS OF THE ACM/IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES",12,5.69
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",12,5.69
"ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS",11,5.21
"IEEE TRANS. KNOWL. DATA ENG.",11,5.21
"J AM SOC INF SCI TEC",11,5.21
"J INFORMETR",11,5.21
"PHYSICAL REVIEW E",11,5.21
"PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",11,5.21
"PROGRAM",11,5.21
"ACM TRANS. KNOWL. DISCOV. DATA",10,4.74
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA (TKDD)",10,4.74
"BIOINFORMATICS",10,4.74
"EXPERT SYSTEMS WITH APPLICATIONS",10,4.74
"ACM JOURNAL OF DATA AND INFORMATION QUALITY",9,4.27
"D-LIB MAGAZINE",9,4.27
"INFORMATION SCIENCES",9,4.27
"JOURNAL OF DATA AND INFORMATION QUALITY (JDIQ)",9,4.27
"JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE",9,4.27
"PROCEEDINGS OF THE 2017 ACM ON CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",9,4.27
"PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB",9,4.27
"PROCEEDINGS OF THE VLDB ENDOWMENT",9,4.27
"RESEARCH AND ADVANCED TECHNOLOGY FOR DIGITAL LIBRARIES",9,4.27
"RESEARCH POLICY",9,4.27
"2011 IEEE 11TH INTERNATIONAL CONFERENCE ON DATA MINING",8,3.79
"ACM T KNOWL DISCOV D",8,3.79
"J ASSOC INF SCI TECHNOL",8,3.79
"J BIOMED INFORM",8,3.79
"J. AM. SOC. INF. SCI. TECHNOL",8,3.79
"JCDL",8,3.79
"KNOWLEDGE ENGINEERING AND SEMANTIC WEB",8,3.79
"PROCEEDINGS OF THE 14TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING",8,3.79
"PROCEEDINGS OF THE 20TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE",8,3.79
"PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT",8,3.79
"BMC BIOINFORMATICS",7,3.32
"EUROPEAN CONFERENCE ON PRINCIPLES OF DATA MINING AND KNOWLEDGE DISCOVERY",7,3.32
"IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS",7,3.32
"J. AM. SOC. INF. SCI. TECHNOL.",7,3.32
"KNOWL. ENG. REV.",7,3.32
"P NATL ACAD SCI USA",7,3.32
"PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB",7,3.32
"PROCEEDINGS OF THE 22ND ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING",7,3.32
"PROCEEDINGS OF THE 7TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",7,3.32
"ACM COMPUTING SURVEYS",6,2.84
"ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS",6,2.84
"ANNU REV INFORM SCI",6,2.84
"DIGITAL LIBRARIES",6,2.84
"ICDE",6,2.84
"INF. PROCESS. MANAG.",6,2.84
"INFORM PROCESS MANAG",6,2.84
"INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF DIGITAL LIBRARIES",6,2.84
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION",6,2.84
"JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",6,2.84
"KNOWLEDGE AND INFORMATION SYSTEMS",6,2.84
"LECT NOTES COMPUT SC",6,2.84
"MEDICAL REFERENCE SERVICES QUARTERLY",6,2.84
"MODERN INFORMATION RETRIEVAL",6,2.84
"NIPS",6,2.84
"PROCEEDINGS OF THE 15TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",6,2.84
"PROCEEDINGS OF THE 20TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING",6,2.84
"PROCEEDINGS OF THE 36TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL",6,2.84
"PROCEEDINGS OF THE 5TH ACM/IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES",6,2.84
"PROCEEDINGS OF THE 6TH ACM/IEEE-CS JOINT CONFERENCE ON DIGITAL LIBRARIES",6,2.84
"PROCEEDINGS OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY",6,2.84
"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES",6,2.84
"RES POLICY",6,2.84
"",5,2.37
"AMERICAN SOCIOLOGICAL REVIEW",5,2.37
"ARXIV",5,2.37
"CORR",5,2.37
"DATABASE",5,2.37
"EPJ DATA SCI",5,2.37
"IEEE INTELLIGENT SYSTEMS",5,2.37
"IEEE T KNOWL DATA EN",5,2.37
"IEEE TRANS. KNOWL. DATA ENG",5,2.37
"INF. PROCESS. MANAGE.",5,2.37
"J MACH LEARN RES",5,2.37
"JASIST",5,2.37
"KDD",5,2.37
