item,count,f
"AUTHOR",146,69.19
"DISAMBIGUATION",145,68.72
"NAME",133,63.03
"USING",37,17.54
"DATA",28,13.27
"APPROACH",18,8.53
"BASED",16,7.58
"GRAPH",15,7.11
"DIGITAL",14,6.64
"NETWORK",14,6.64
"NETWORKS",14,6.64
"ANALYSIS",11,5.21
"BIBLIOGRAPHIC",11,5.21
"INFORMATION",11,5.21
"LEARNING",11,5.21
"ACADEMIC",10,4.74
"CLUSTERING",10,4.74
"LIBRARIES",10,4.74
"RESEARCH",10,4.74
"CITATION",9,4.27
"CONFERENCE",9,4.27
"PUBMED",9,4.27
"SIMILARITY",9,4.27
"WEB",9,4.27
"AUTOMATIC",7,3.32
"DEEP",7,3.32
"HETEROGENEOUS",7,3.32
"INTERNATIONAL",7,3.32
"MODEL",7,3.32
"SEMANTIC",7,3.32
"AUTHORS",6,2.84
"FEATURES",6,2.84
"IMPACT",6,2.84
"MACHINE",6,2.84
"METHOD",6,2.84
"MULTIPLE",6,2.84
"NAMES",6,2.84
"NEURAL",6,2.84
"ALGORITHM",5,2.37
"BIBLIOMETRIC",5,2.37
"CLASSIFICATION",5,2.37
"DATABASE",5,2.37
"EMAIL",5,2.37
"EVALUATING",5,2.37
"EXPLOITING",5,2.37
"FRAMEWORK",5,2.37
"KNOWLEDGE",5,2.37
"LARGE-SCALE",5,2.37
"MEDLINE",5,2.37
"PUBLICATIONS",5,2.37
"SCIENTIFIC",5,2.37
"SYSTEM",5,2.37
"APPLICATIONS",4,1.90
"BIG",4,1.90
"CITATIONS",4,1.90
"CO-AUTHORSHIP",4,1.90
"COLLABORATION",4,1.90
"COMPARISON",4,1.90
"DATABASES",4,1.90
"DISAMBIGUATING",4,1.90
"EMBEDDING",4,1.90
"ENTITY",4,1.90
"EVALUATION",4,1.90
"HEURISTICS",4,1.90
"HYBRID",4,1.90
"IDENTIFICATION",4,1.90
"INCREMENTAL",4,1.90
"LINKING",4,1.90
"METHODS",4,1.90
"MINING",4,1.90
"MODELS",4,1.90
"NEW",4,1.90
"RANDOM",4,1.90
"SCALE",4,1.90
"SYSTEMS",4,1.90
"THEORY",4,1.90
"TOPIC",4,1.90
"UNSUPERVISED",4,1.90
"WORKSHOP",4,1.90
"ADVANCED",3,1.42
"AUTHORSHIP",3,1.42
"BIBLIOMETRICS",3,1.42
"CASE",3,1.42
"COMBINING",3,1.42
"COMPUTING",3,1.42
"DBLP",3,1.42
"DOMAIN-SPECIFIC",3,1.42
"EFFECTIVE",3,1.42
"EMBEDDINGS",3,1.42
"FORESTS",3,1.42
"FUSION",3,1.42
"HIGHLY",3,1.42
"HOMONYM",3,1.42
"IMPROVING",3,1.42
"JOINT",3,1.42
"LIBRARY",3,1.42
"MANAGEMENT",3,1.42
"MICROSOFT",3,1.42
"OPEN",3,1.42
"PROBLEM",3,1.42
"PUBLICATION",3,1.42
"QUALITY",3,1.42
"RECORDS",3,1.42
"REPOSITORIES",3,1.42
"RESEARCHER",3,1.42
"REVIEW",3,1.42
"SCHOLARLY",3,1.42
"SCIENCE",3,1.42
"SERVICE",3,1.42
"SOCIAL",3,1.42
"SOURCES",3,1.42
"STRUCTURAL",3,1.42
"SUPERVISED",3,1.42
"SURVEY",3,1.42
"TECHNIQUES",3,1.42
"TECHNOLOGIES",3,1.42
"VIA",3,1.42
"WORD",3,1.42
"1ST",2,0.95
"2009",2,0.95
"2010",2,0.95
